ID,AUDITYEAR,DBKEY,ELECAUDITSID,PASSTHROUGHNAME,PASSTHROUGHID
593371,2016,74099,26809072,MARYLAND DEPARTMENT OF EDUCATION,LS-00-15-0021-15
169376,2016,108239,26062509,MT DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,
170169,2016,108239,26062548,MT DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,
170172,2016,108239,26062551,MT DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,
169348,2016,108239,26062478,MT DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,
170167,2016,108239,26062543,MT DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,
170161,2016,108239,26062538,MT DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,
170157,2016,108239,26062533,MT DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,
170150,2016,108239,26062527,MT DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,
170145,2016,108239,26062515,MT DEPARTMENT OF PUBLIC HEALTH AND HUMAN RESOURCES,
170098,2016,108239,26062530,MT DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,
169972,2016,108239,26062482,MT DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,
951121,2016,130984,27521407,ARKANSAS ECONOMIC DEVELOPMENT COMMISSION,794-00157-08
951125,2016,130984,27521401,ARKANSAS HOMELAND SECURITY AND PREPAREDNESS AGENCY,PA-06-AR-4270-PW-00052
860243,2016,159482,27382238,U.S. DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,CQHI15000073
860246,2016,159482,27382241,U.S. DEPARTMENT OF THE INTERIOR FISH AND WILDLIFE SERVICE,
860248,2016,159482,27382243,U.S. DEPARTMENT OF LABOR,80074
860250,2016,159482,27382245,U.S. DEPARTMENT OF LABOR,80074
860252,2016,159482,27382247,U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES,10000053510
860244,2016,159482,27382239,U.S. DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,NYCR-0058
860254,2016,159482,27382249,U.S. DEPARTMENT OF HOMELAND SECURITY,
860245,2016,159482,27382240,U.S. DEPARTMENT OF THE INTERIOR FISH AND WILDLIFE SERVICE,
860247,2016,159482,27382242,U.S. DEPARTMENT OF LABOR,80074
860249,2016,159482,27382244,U.S. DEPARTMENT OF LABOR,80074
860251,2016,159482,27382246,U.S. DEPARTMENT OF LABOR,80074
860253,2016,159482,27382248,U.S. DEPARTMENT OF EDUCATION,V00003787
728851,2016,160717,27085357,NEW YORK STATE DEPARTMENT OF EDUCATION,
728853,2016,160717,27085359,NEW YORK STATE DEPARTMENT OF EDUCATION,
728861,2016,160717,27085367,NEW YORK STATE DEPARTMENT OF EDUCATION,0187166079
728862,2016,160717,27085368,NEW YORK STATE DEPARTMENT OF EDUCATION,0293152945
728855,2016,160717,27085361,NEW YORK STATE DEPARTMENT OF EDUCATION,0021152945
728864,2016,160717,27085370,NEW YORK STATE DEPARTMENT OF EDUCATION,0149152945
728849,2016,160717,27085355,NEW YORK STATE DEPARTMENT OF EDUCATION,
728859,2016,160717,27085365,NEW YORK STATE DEPARTMENT OF EDUCATION,0033160875
728857,2016,160717,27085363,NEW YORK STATE DEPARTMENT OF EDUCATION,0032160875
728858,2016,160717,27085364,NEW YORK STATE DEPARTMENT OF EDUCATION,0033150875
728866,2016,160717,27085372,NEW YORK STATE DEPARTMENT OF EDUCATION,0147152945
728867,2016,160717,27085373,NEW YORK STATE DEPARTMENT OF EDUCATION,0147162945
728850,2016,160717,27085356,NEW YORK STATE DEPARTMENT OF EDUCATION,
728860,2016,160717,27085366,NEW YORK STATE DEPARTMENT OF EDUCATION,0187156079
728854,2016,160717,27085360,NEW YORK STATE DEPARTMENT OF EDUCATION,0005150083
728863,2016,160717,27085369,NEW YORK STATE DEPARTMENT OF EDUCATION,0293162945
728852,2016,160717,27085358,NEW YORK STATE DEPARTMENT OF EDUCATION,
728856,2016,160717,27085362,NEW YORK STATE DEPARTMENT OF EDUCATION,0021162945
728865,2016,160717,27085371,NEW YORK STATE DEPARTMENT OF EDUCATION,0149162945
882305,2016,163050,27415387,OHIO OFFICE OF ATTORNEY GENERAL,VAGENE539
882306,2016,163050,27415391,OHIO DEPARTMENT OF TRANSPORTATION,RPTM-0096-036-161
882307,2016,163050,27415390,OHIO DEPARTMENT OF TRANSPORTATION,RPTF-4096-036-161
882308,2016,163050,27415386,OHIO DEVELOPMENT SERVICES AGENCY,A-F-14-104-1
882309,2016,163050,27415389,OHIO DEVELOPMENT SERVICES AGENCY,A-F-15-104-1
574031,2016,164702,26667766,OHIO DEPARTMENT OF EDUCATION,S010A150035
492481,2016,164702,26667765,OHIO DEPARTMENT OF EDUCATION,
492486,2016,164702,26667768,OHIO DEPARTMENT OF EDUCATION,H027A150111
492487,2016,164702,26667768,OHIO DEPARTMENT OF EDUCATION,H027A150111
492489,2016,164702,26667770,OHIO DEPARTMENT OF EDUCATION,84.358B
492490,2016,164702,26667771,OHIO DEPARTMENT OF EDUCATION,S367A150034
492491,2016,164702,26667771,OHIO DEPARTMENT OF EDUCATION,S367A150034
492483,2016,164702,26667766,OHIO DEPARTMENT OF EDUCATION,S010A150035
492480,2016,164702,26667764,OHIO DEPARTMENT OF EDUCATION,
492488,2016,164702,26667769,OHIO DEPARTMENT OF EDUCATION,H173A150119
344871,2016,173956,26358523,STATE DEPARTMENT OF EDUCATION,16-696001018901
344889,2016,173956,26358544,STATE DEPARTMENT OF AGRICULTURE,71301001
344850,2016,173956,26358497,STATE DEPARTMENT OF EDUCATION,16-6600010189016600
