ID,AUDITYEAR,DBKEY,EIN,EINSEQNUM,DUNS,DUNSEQNUM
1560442017006199283D,2017,156044,,,006199283,
1560442017610081085D,2017,156044,,,610081085,
1560442017782008353D,2017,156044,,,782008353,
1560442017829781652D,2017,156044,,,829781652,
1560442017830240792D,2017,156044,,,830240792,
1560442017830345539D,2017,156044,,,830345539,
1560442017837681097D,2017,156044,,,837681097,
711922017331081490E,2017,71192,331081490,,,
711922017431992291E,2017,71192,431992291,,,
711922017510357599E,2017,71192,510357599,,,
711922017510368682E,2017,71192,510368682,,,
711922017510373607E,2017,71192,510373607,,,
711922017510389518E,2017,71192,510389518,,,
711922017510398773E,2017,71192,510398773,,,
711922017510408034E,2017,71192,510408034,,,
711922017510448268E,2017,71192,510448268,,,
711922017522041223E,2017,71192,522041223,,,
1714502017626000910E,2017,171450,626000910,,,
1714502017626000911E,2017,171450,626000911,,,
1761102017546001584E,2017,176110,546001584,,,
