SEQ_NUMBER,DBKEY,AUDITYEAR,FINDINGREFNUMS,TEXT,CHARTSTABLES,REPORTID,VERSION,UEI,MULTIPLEUEIS
1905,91751,2019,2019-002,"2019-002 Material Weakness: Direct Subsidized Loans Exceed Annual Limit (U.S Department of Education, William D. Ford Direct Loan Program, CFDA #84.268)

Criteria: In accordance with 34 CFR 685.203, annual amounts that students can be awarded for Direct Loan funds is dependent, in part, on the students’ grade level. 

Statement of Condition:  During the audit, it was noted that the University awarded one student in excess of the annual loan limit for Subsidized Direct Loans, based on that student’s grade level. 

Questioned Costs:  The known monetary error was $442, which resulted in an extrapolated error of $46,089.

Perspective Information:  The audit included a detailed testing of 40 student files, of which this material weakness applies to 1, indicating an error rate of 2.50%.  The relevant population in which this error was extrapolated consisted of all students who had received Subsidized Direct Loans. We consider this sample to be statistically valid. 

Cause and Effect:  This finding is a result of the loan processor not following established packaging rules that did not allow for progression of loan limits based on grade level until the student had earned the required credit hours. This caused the student to be over awarded according to grade level. 

Recommendation:  BCS recommends that the packaging rules be followed so that students are awarded appropriately based on the credit hours earned. 

View of Responsible Officials:  Staff will receive continual training on packaging polices, rules and procedures. Students earned credit hours will be checked against grade level and potential over awards will be reviewed and corrected prior to disbursing funds.
 
",N,815192,1,,
1906,91751,2019,2019-001,"2019-001 Significant Deficiency: National Student Loan Data System (NSLDS) Report (U.S Department of Education, William D. Ford Direct Loan Program, CFDA #84.268 and Federal Pell Grant Program, CFDA #84.063) (original finding number 2017-011)

Criteria: In accordance with 34 CFR 685.309(b) and 34 CFR section 690.83(b)(2), for Direct Loans and Pell grants, respectively, once the Enrollment Reporting roster file is received from the NSLDS, the institution must update the Enrollment Reporting roster file for changes in student status, report the date the enrollment status was effective, enter the new anticipated completion date, and submit the changes to NSLDS.

Statement of Condition:  During the audit, it was noted that the University incorrectly reported student status changes for students who received Direct Loan and Pell grant disbursements. 

Questioned Costs:  Such information is not applicable for this finding, due to the fact that it is nonmonetary in nature.

Perspective Information:  The audit included a detailed testing of 40 student files, of which this significant deficiency applies to 11, indicating an error rate of 27.50%.

Cause and Effect:  Students’ enrollment data was incorrectly identified and reported to NSLDS. The
Power Campus Software was unable to identify students that simultaneously withdrew and dropped courses form adjoining modules. The result was incorrect reporting of enrollment data.

Recommendation:  The University should ensure that the appropriate data is submitted to the NSLDS in order to ensure correct student status reporting.

View of Responsible Officials: The University of the Cumberlands recognizes the importance of accurate reporting of enrollment data. As such, with the aid of an outside consulting firm FocusEdu an internal review of our current and past practices was conducted to identify and correct any issue that could lead to any future findings. Additionally, interdepartmental meetings were conducted to establish roles, scrutinize processes, setups and look for areas that could present repeat enrollment findings. Finally, with our transition to Banner integrated software we have leveraged their experts in registration and financial aid in our setup for proper reporting.
",N,815192,1,,
22103,161649,2019,2019-003,"Criteria:  Title 2 U.S. Code of Federal Regulations (“CFR”) Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (“Uniform Guidance”), section 200.512 requires the audit to be completed and the related reporting package submitted to the federal government within the earlier of 30 days after the receipt of the auditors’ report or nine months after the end of the entity’s fiscal year end. On March 19, 2020, the Office of Management and Budget (“OMB”) issued memorandum M-20-17, Administrative Relief for Recipients and Applicants of Federal Financial Assistance Directly impacted by the Novel Coronavirus (“COVID-19”).  The memorandum provides temporary relief for federal award recipients and subrecipients impacted by the COVID-19 pandemic.  The memorandum summarizes 13 areas of administrative relief including an extension of time to submit financial reporting packages to the Federal Audit Clearinghouse in accordance with the Uniform Guidance.

Condition:  The financial and compliance audits for the year ended June 30, 2019 were not completed within the extended deadline.

Effect:  The federal government could impose sanctions under 2 CFR 200.505.

Cause:	During the year, the City experienced turnover in the finance director position which significantly impaired the City’s internal controls over financial reporting.  In addition, Hurricane Florence caused a disruption in the City’s services.

Repeat finding: This is not a repeat finding. 

Context:  The filing deadline for the fiscal year ended June 30, 2019 was March 31, 2020 and extended to June 30, 2020 by OMB Memorandum M-20-17.  The financial reporting package is expected to be uploaded on the Federal Audit Clearinghouse’s website before May 15, 2021. 

Recommendation:  The new Finance Director has established written procedures to ensure annual reporting requirements are completed in a timely manner. In addition, we recommend the City consider implementing a cross training plan where certain qualified individuals are trained to perform key functions in the event members of management become incapacitated and are unable to perform their duties.  In addition, cross-training strengthens existing controls by having other individuals fill in for a person while they are on vacation or out of the office for an extended period of time.

Management Response:  Management agrees with this finding.  See Corrective Action Plan.
",Y,882744,1,,
107,109775,2019,2019-001,"Finding 2019-001: Application of Sliding Fee Discount
Federal Agency: U.S. Department of Health and Human Services
Federal Program: Consolidated Health Centers Grant
CFDA Number: 93.224 and 93.527
Award Period: February 1, 2018 to January 31, 2019
Type of Finding: Significant Deficiency in Internal Control over Compliance and Compliance
Criteria
Per Title 42 Chapter 1 Subchapter D Section 51c303(f), “Health centers must have a schedule of fees or payments for the provision of their health services consistent with locally prevailing rates or charges designed to cover their reasonable costs of operation. They are also required to have a corresponding schedule of discounts applied and adjusted on the basis of the patient’s ability to pay.”
Condition Found and Context
During our testing of 40 sliding fee discounts for health center patients qualifying for reduced charge visits, we identified one visit that received the incorrect sliding fee discount.
Effect
Potential that a patient would not receive the appropriate sliding fee discount.
Cause
Clerical error in updating and applying the sliding fee category in the billing system for these patients caused this oversight.
Recommendation
We recommend the Organization take measures to ensure that appropriate sliding fee rates/categories are used for each sliding fee encounter.
Views of Responsible Officials and Planned Corrective Actions
The Organization is aware of the importance of properly applying the sliding fee scale to all eligible patients. We feel that we have a strong policy and procedure to ensure this is done accurately. However, the process is dependent on many individuals and is susceptible to human error. We have implemented two new processes to mitigate this risk.
First, we are working with our electronic health records company (NextGen) to improve the electronic process. We will enter the family size and income into NextGen, which will automatically assign the correct sliding fee scale, which will automatically be applied each time the patient utilizes the clinic.
Secondly, we are increasing our internal audit procedures to audit sliding fee applications on a monthly basis, previously we were performing quarterly audits. These more frequent audits will ensure that information from the applications is accurately entered into NextGen.",N,804029,1,,
2442,241171,2019,2019-001,"Criteria: The Authority failed to comply with the cash management requirement to minimize the time elapsed  between  the  transfer  of  federal  funds  and  the  disbursement  for  program  purposes.

Condition: The Authority requested money from their operating grant and failed to spend all the amount within a reasonable period of time after receipt. In some instances, it was 30 days or more before the money was spent.

Questioned Costs: All the amounts requested were spent resulting in no questioned costs.

Cause: The Authority failed to properly determine the amount the entity could request in order to comply with the cash management compliance requirement.

Effect: The amount requested for each of the draw requests, except the last request, exceeded the amount the Authority should have requested to be able to spend the monies within a minimum time after receipt.

Recommendation: We recommend the entity perform a calculation prior to each draw request to determine the amount the entity is able to draw on the grant to remain in compliance with the cash management requirement. 

Management’s Response: The Authority agrees with this finding. We will follow the Uniform Guidance and funding source instructions for requesting grant monies in the future. The Authority is performing a monthly calculation to determine the amount that can be requested to remain in compliance with the cash management requirement.
",N,812583,1,,
2441,241171,2019,2019-002,"Criteria: The Authority is required to contribute 50% of total operating costs as a non-federal match. The Authority did not match all expenditures when the federal money was received.

Condition: The Authority is required to match all federal expenditures by paying 50% of all expenditures with their own funds.

Questioned Costs: The Authority met the matching requirement by the end of the fiscal year. Therefore, there are no questioned costs.

Cause: The Authority requested the federal monies in advance and failed to match the federal expenditures when made.

Effect: The Authority failed to meet the 50% matching requirement as the federal money was received.

Recommendation: We recommend the Authority perform a calculation prior to each draw request to determine the amount the entity is able to draw to match 50% of the expenditures with their own funds and remain in compliance with the matching requirement.

Management Response: The Authority agrees with this finding. We will follow the Uniform Guidance and funding source instructions for requesting federal monies in the future. The Authority is performing a monthly calculation to determine the amount that can be requested to remain in compliance with the matching requirement.
",N,812583,1,,
2341,61656,2019,2019-001,"2019-001 Exit Counseling
Significant Deficiency

DEPARTMENT OF EDUCATION
CFDA #: 84.268 Federal Direct Loan Program
Federal Award Identification #: 18/19 Award Year

Condition: The Fellowship did not retain evidence of providing exit counseling to all students who withdrew from the Fellowship. 

Criteria: 34 CFR 685.304(b)

Questioned Costs: $-0-

Context: In our eligibility and disbursement testing of 19 students, five students exited the Fellowship. Of the five students who exited the Fellowship, three students did not have evidence of exit counseling in the student file. The Fellowship subsequently notified these three students in case they had been missed.

Effect: Documentation of exit counseling was not available. Exit counseling information assists in reducing the default rate of the Fellowship.

Cause: Exit counseling information was not appropriately provided to the students. 

Identification as repeat finding, if applicable: Not Applicable

Recommendation: We recommend the Fellowship develop a process to insure that exit counseling information is provided to students.

Views of Responsible Officials: Management is in agreement with the finding and is in the process of addressing the issue. See attached corrective action plan.
",N,819637,1,,
2342,61656,2019,2019-002,"2019-002 Federal Direct Loan Eligibility
Significant Deficiency

DEPARTMENT OF EDUCATION
CFDA #: 84.268 Federal Direct Loan Program
Federal Award Identification #: 18/19 Award Year

Condition: As part of the need analysis process it was noted that students were not always awarded the correct amount of subsidized and unsubsidized federal direct loans (FDL) based on eligibility.

Criteria: 334 CFR 685.200 (a) & (v), 34 CFR 685.203

Questioned Costs: $1,000

Context: Out of 19 students, 1 student under awarded $5,500 in subsidized loans based on an inaccurate need analysis. The total loans awarded were accurate but the allocation between subsidized and unsubsidized loans was not. 1 student was over awarded $1,000 in subsidized loans based on grade level.

Effect: Student not awarded FDL based on need and eligibility.

Cause: Reliance on financial aid system to accurately award students. Also, using ISIR self-reported year of enrollment instead of using transcripts. 

Identification as repeat finding, if applicable: Not Applicable

Recommendation: We recommend the Fellowship add a review procedure to verify that the financial aid awarding software used is accurately awarding aid. 

Views of Responsible Officials: Management is in agreement with the finding and is in the process of addressing the issue. See attached corrective action plan.
",N,819637,1,,
1246,160172,2019,2019-001,"Title I

Information on Federal Program: Title I Grants to Local Agencies, CFDA No. 84.010 

Criteria: Compliance under Title I: Grants and Agreements Part 200.430 Compensation-personal services under compliance requirement Allowable Costs/Cost Principles 2. Documentation of Employee Time and Effort.

Condition: During our testing of payroll expenditures charged to this program it was noted that two part-time tutors were being charged to this grant.  The time and effort reports (payroll certifications) being signed by these individuals acknowledging and noting that their salaries are being allocated to the Federal Program were not maintained by the District.

Questioned Cost: None.

Context: A selection of eleven employees charged to the Federal Program were tested for verification of wages charged, educational certifications and payroll certifications.

Effect: We were unable to review payroll certifications of time and effort reports acknowledged by the employee that their services were being allocated to this Federal Program as the District had not requested them from employees who were operating in a tutor capacity.  The amounts paid to the tutors were supported, allowable under the grant, included on the approved grant budget and properly coded to the grant.

Cause: While the District has policies and procedures in place requiring completion of payroll certifications there was an oversight causing the District to not obtain the certifications for this type of employee.  

Perspective Information: Certifications were not required for tutors.  

Repeat Finding: No

Recommendation: We recommend that compensating controls be implemented to monitor compliance with existing policies and procedures to ensure all employees whose time and effort of providing special education services is acknowledged by the payroll certifications. 

Views of the Responsible Officials and Planned Corrective Actions: 

The Director of Special Education will ensure that payroll certifications are obtained for all employees with Federal Program allocations.
",N,815106,1,,
4078,154044,2019,2019-001,"2019-001 Special Test and Provisions – Enrollment Reporting
Criteria: The U.S. Department of Education requires the College to update changes in student enrollment status, report
the date the enrollment status was effective, and submit changes electronically with the National Student Loan Data
System (NSLDS) website in accordance with 34 CFR 682.610 and 34 CFR 685.309.
Condition: The College did not have procedures in place to ensure change in enrollment information was accurately being
reported to the Department of Education.
Context: A sample of 40 students revealed that different effective dates were reported to NSLDS than what College records
reflected for 2 students.
Effect: The College was not in compliance with enrollment reporting to the NSLDS.
Cause: The College’s policies and procedures did not include proper internal controls over compliance to ensure that this
requirement was being met.
Questioned costs: At the most, questionable costs would be interest accrued on the outstanding amounts of direct student
loans which are insignificant, therefore there are no questioned costs.
Recommendation: We recommend the College implement procedures to strictly comply with requirements of 34 CFR
685.309 and 34 CFR 682.610 as it relates to the student enrollment status date information reported to the NSLDS. We
further recommend the College follow the guidance provided in the NSLDS Enrollment Reporting Guide and stay abreast
of new guidance as published by the Department of Education.
Response: It was found that the last enrollment report for the Fall term sent to the National Clearinghouse was sent in
December. Because grades are not finalized until three days after the last day of the term, Return of Title IV Funds (R2T4)
calculations with all F or F/W status were not completed until January. Therefore, the last date of academic related activity
was not updated accordingly. Because enrollment reporting is sent through our Registrar’s office and R2T4 calculations
are completed in the Financial Aid office, we did not recognize the timing was inaccurate for enrollment reporting.
We have corrected both individuals directly on the National Student Loan Data System (NSLDS). We are also working with
our IT Department, Registrar, the National Clearinghouse and NSLDS to send a corrected file to update all students affected
for the 18-19 school year. Moving forward, we are coordinating with the Registrar’s office to schedule dates for reporting
enrollment so that they include our last R2T4 calculations for the term.
",N,827765,1,,
