ELECAUDITSID,ID,AUDITYEAR,DBKEY,CFDASEQNUM,CFDA,FEDERALPROGRAMNAME,AMOUNT,MAJORPROGRAM,TYPEREQUIREMENT,QCOSTS2,FINDINGS,FINDINGREFNUMS,RD,DIRECT,CFDA_PREFIX,CFDA_EXT,EIN,CFDA2,TYPEREPORT_MP,TYPEREPORT_MP_OVERRIDE,ARRA,LOANS,FINDINGSCOUNT,LOANBALANCE,PASSTHROUGHAMOUNT,AWARDIDENTIFICATION,CLUSTERNAME,PASSTHROUGHAWARD,STATECLUSTERNAME,PROGRAMTOTAL,CLUSTERTOTAL,OTHERCLUSTERNAME,CFDAPROGRAMNAME
33302433,2696520201,2020,26965,1,14.195,SECTION 8 HOUSING ASSISTANCE PAYMENTS PROGRAM,828368,Y,,,,,,Y,14,195,232142507,14,U,,,N,0,,0,,,N,,828368,0,,SECTION 8 HOUSING ASSISTANCE PAYMENTS PROGRAM
33302434,2696520202,2020,26965,2,14.191,MULTIFAMILY HOUSING SERVICE COORDINATORS,53074,N,,,,,,Y,14,191,232142507,14,,,,N,0,,0,,,N,,53074,0,,MULTIFAMILY HOUSING SERVICE COORDINATORS
33130914,11955720201,2020,119557,1,10.557,"SPECIAL SUPPLEMENTAL NUTRITION PROGRAM FOR WOMEN, INFANTS & CHILDREN (WIC)",978968,N,,,,,,N,10,557,942210447,10,,,,N,0,,0,,,N,,1340632,0,,"SPECIAL SUPPLEMENTAL NUTRITION PROGRAM FOR WOMEN, INFANTS, AND CHILDREN"
33130923,119557202010,2020,119557,10,93.224,"COVID-19 HEALTH CENTER CORONAVIRUS AID, RELIEF AND ECONOMIC SECURITY",447697,Y,,,,,,Y,93,224,942210447,93,U,,,N,0,,0,COVID-19,HEALTH CENTER PROGRAM CLUSTER,N,,8248002,8248002,,"CONSOLIDATED HEALTH CENTERS (COMMUNITY HEALTH CENTERS, MIGRANT HEALTH CENTERS, HEALTH CARE FOR THE HOMELESS, AND PUBLIC HOUSING PRIMARY CARE)"
33130924,119557202011,2020,119557,11,93.224,COVID-19 CORONAVIRUS SUPPLEMENTAL FUNDING FOR HEALTH CENTER,125351,Y,,,,,,Y,93,224,942210447,93,U,,,N,0,,0,COVID-19,HEALTH CENTER PROGRAM CLUSTER,N,,8248002,8248002,,"CONSOLIDATED HEALTH CENTERS (COMMUNITY HEALTH CENTERS, MIGRANT HEALTH CENTERS, HEALTH CARE FOR THE HOMELESS, AND PUBLIC HOUSING PRIMARY CARE)"
33130925,119557202012,2020,119557,12,93.918,GRANTS TO PROVIDE OUTPATIENT EARLY INTERVENTION SERVICES WITH RESPECT TO HIV DISEASE,306112,N,,,,,,Y,93,918,942210447,93,,,,N,0,,0,,,N,,475589,0,,GRANTS TO PROVIDE OUTPATIENT EARLY INTERVENTION SERVICES WITH RESPECT TO HIV DISEASE
33130926,119557202013,2020,119557,13,93.918,GRANTS TO PROVIDE OUTPATIENT EARLY INTERVENTION SERVICES WITH RESPECT TO HIV DISEASE,154267,N,,,,,,Y,93,918,942210447,93,,,,N,0,,0,,,N,,475589,0,,GRANTS TO PROVIDE OUTPATIENT EARLY INTERVENTION SERVICES WITH RESPECT TO HIV DISEASE
33130927,119557202014,2020,119557,14,93.918,COVID-19 GRANTS TO PROVIDE OUTPATIENT EARLY INTERVENTION SERVICES WITH RESPECT TO HIV DISEASE,15210,N,,,,,,Y,93,918,942210447,93,,,,N,0,,0,COVID-19,,N,,475589,0,,GRANTS TO PROVIDE OUTPATIENT EARLY INTERVENTION SERVICES WITH RESPECT TO HIV DISEASE
33130928,119557202015,2020,119557,15,93.917,HIV CARE FORMULA GRANTS,162355,N,,,,,,N,93,917,942210447,93,,,,N,0,,0,,,N,,215761,0,,HIV CARE FORMULA GRANTS
33130929,119557202016,2020,119557,16,93.917,HIV CARE FORMULA GRANTS (SUPPLEMENT),51371,N,,,,,,N,93,917,942210447,93,,,,N,0,,0,,,N,,215761,0,,HIV CARE FORMULA GRANTS
