ID,REPORTID,VERSION,DBKEY,AUDITYEAR,SEQ_NUMBER,TYPE_ID,NOTE_INDEX,TITLE,CONTENT,UEI,MULTIPLEUEIS
161357,872650,1,2199,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. The cumulative balance of federal awards for endowment funds which are federally restricted are considered awards expended in each year in which the funds are still restricted.",,
161358,872650,1,2199,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
150536,868580,1,130477,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying Schedule of Expenditures of Federal Awards includes the District's federal grant activityfor the year ended June 30, 2020. The information in this schedule is presented in accordance with therequirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements,Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance).",,
150537,868580,1,130477,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
190218,882078,1,119557,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
190219,882078,1,119557,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal awards of Ampla Health (Organization), is presented on the accrual basis of accounting. The information in this schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Therefore, some amounts presented in this schedule may differ from amounts presented in, or used in the preparation of, the basic financial statements.",,
191972,883916,1,26965,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.  Carlisle Senior Housing Associates is currently using an internally developed method to allocate indirect costs as allowed under the Uniform Guidance and does not use the 10% de Minimis indirect cost rate.",,
191973,883916,1,26965,2020,3,3,0,BASIS OF PRESENTATION,"The schedule of expenditures of federal awards (the Schedule) includes the federal grant activity of Carlisle Senior Housing Associates under programs of the federal government for the year ended December 31, 2020.  The information in the Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance).  Because the Schedule presents only a selected portion of the operations of Carlisle Senior Housing Associates, it is not intended to and does not present the financial position, changes in net assets, or cash flows of Carlisle Senior Housing Associates. Pass-through entity identifying numbers are presented where available.",,
191974,883916,1,26965,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
108346,853378,1,150274,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
108347,853378,1,150274,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the modified accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.  Negative amounts (if any) shown on the Schedule represent adjustments or credits made in the normal course of business to amounts reported as expenditures in prior years.  Pass-through entity identifying numbers are presented where available.",,
140830,865549,1,174775,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the modified accrual basis of accounting. Theseexpenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certaintypes of expenditures are not allowable or are limited as to reimbursement. Negative amounts shown on theSchedule, if any, represent adjustments or credits made in the normal course of  business to amounts reportedas expenditures in prior years.",,
140831,865549,1,174775,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
145286,866891,1,170746,2020,3,3,0,Basis of Presentation,"The accompanying Schedule of Expenditures of Federal Awards includes the federal grant activity of the School District under programs of the federal government for the year ended June 30, 2020.  The information in this schedule is presented in accordance with the requirements of the Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance).  Because the Schedule presents only a selected portion of the operations of the School District, it is not intended to and does not present the financial position, changes in net position, or cash flows of the School District.",,
145287,866891,1,170746,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the modified accrual basis of accounting, consistent with the measurement focus and accounting basis used by the School District for expenditures.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.  Pass-through entity identifying numbers are presented where available. ",,
145288,866891,1,170746,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
158614,845991,1,135700,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
158615,845991,1,135700,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,Expenditures reported on the Schedule are reported on the modified accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the Uniform Guidance wherein certain types of expenditures are not allowable or are limited as to reimbursement.,,
158616,845991,1,135700,2020,3,3,0,Noncash federal awards,"The Town received and expended $37,772 of USDA donated commodities under the National School Lunch Program.",,
222825,894802,1,156515,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
222826,894802,1,156515,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedules of expenditures of Federal Awards are presented on the budgetary basis of accounting with the exception of programs recorded in the food service fund, which are presented using the accrual basis of accounting. The information in this schedule is presented in accordance with the requirements of. Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for. Federal Awards (Uniform Guidance) and N.J. OMB Circular 15-08. Therefore, some amounts presented in this schedule may differ from amounts presented in, or used in the preparation of, the basic financial statements.The basic financial statements present the general fund and special revenue fund on a GAAP basis. Budgetary comparison statements or schedules (RSI) are presented for the general fund and special revenue fund to demonstrate finance-related legal compliance in which certain revenue is permitted by law or grant agreement to be recognized in the audit year, whereas for GAAP reporting, revenue is not recognized until the subsequent year or when expenditures have been made. The general fund is presented in the accompanying schedules on the modified accrual basis. The special revenue fund is presented in the accompanying schedules on the grant accounting budgetary basis which recognizes encumbrances as expenditures and also recognizes the related revenues, whereas the GAAP basis does not. ",,
423833,878832,1,171906,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
423834,878832,1,171906,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following the cost principles contained in Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards, wherein certain types of expenditures are not allowable or are limited as to reimbursement. Negative amounts shown on the Schedule represent adjustments or credits made in the normal course of business to amounts reported as expenditures in prior year. ",,
94280,845647,1,204453,2020,3,3,0,Loan/loan guarantee outstanding balances,SUPPORTIVE HOUSING FOR THE ELDERLY (14.157) - Balances outstanding at the end of the audit period were 1712000. ,,
94281,845647,1,204453,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.",,
94282,845647,1,204453,2020,4,3,0,Basis of Presentation,"The accompanying schedule of expenditures of federal awards includes the federal award activity of Austen Manor, FHA Project No. 171-EE007 under programs of the federal government for the year ended March 31, 2020. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements of Federal Awards (Uniform Guidance).  Because the Schedule presents only a selected portion of the operations of Austen Manor, it is not intended to and does not present the financial position, change in net assets, or cash flows of Austen Manor.",,
94283,845647,1,204453,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
116671,855330,1,182217,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"1 - Basis of Presentation The accompanying schedule of expenditures of federal awards (the Schedule) includes the federal award activity of the Authority under programs of the federal government for the year ended June 30, 2020. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of the Authority, it is not intended to and does not present the net position, changes in net position, or cash flows of the Authority. 2 - Summary of Significant Accounting Policies Expenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. The Authority has not elected to use the 10-percent de minimis indirect cost rate as allowed under the Uniform Guidance. 3 - Relationship to Financial Statements Federal awards received are reported in the Authoritys financial statements as grants on the statement of revenues, expenses and changes in net position. 4 - Difference in Presentation of Capital Assets The accompanying schedule of expenditures of federal awards presents capital asset acquisitions as expenditures under the definition of the Uniform Guidance.  The financial statements present capital asset acquisitions as assets in accordance with accounting principles generally accepted in the United States of America. ",,
116672,855330,1,182217,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
170810,876576,1,191862,2020,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying Schedule of Expenditures of Federal Awards presents the activity of all federal financial assistance programs of the Dallas County Public Housing Agency.  All federal financial assistance received both directly and indirectly from federal agencies is included in the schedule.The accompanying Schedule of Expenditures of Federal Awards is presented using the accrual basis of accounting.  Under the accrual basis of accounting, revenues are recorded when earned.  Expenditures under the accrual basis of accounting are recorded when the liability is incurred.  Amounts reported in the accompanying schedule agree with the amounts reported in the related federal financial reports.",,
170811,876576,1,191862,2020,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
