,ELECAUDITFINDINGSID,ELECAUDITSID,AUDITYEAR,DBKEY,REPORTID,VERSION,QCOSTS,OTHERFINDINGS,SIGNIFICANTDEFICIENCY,MATERIALWEAKNESS,OTHERNONCOMPLIANCE,TYPEREQUIREMENT,FINDINGREFNUMS,MODIFIEDOPINION,REPEATFINDING,PRIORFINDINGREFNUMS
46324,2936231,34846734,2021,204281,932471,1,N,N,Y,N,N,C,2021-001,N,N,
47809,2912972,34605447,2021,252670,924559,1,N,N,Y,N,Y,P,2021-001,N,N,
47810,2912973,34605447,2021,252670,924559,1,N,N,Y,N,Y,M,2021-002,N,N,
47811,2912974,34605448,2021,252670,924559,1,N,N,Y,N,Y,P,2021-001,N,N,
47812,2912975,34605448,2021,252670,924559,1,N,N,Y,N,Y,M,2021-002,N,N,
47859,2954937,34989835,2021,26716,934034,1,N,N,N,Y,N,G,2021-001,Y,N,
47860,2954938,34989836,2021,26716,934034,1,N,N,N,Y,N,G,2021-001,Y,N,
47861,2954939,34989837,2021,26716,934034,1,N,N,N,Y,N,G,2021-001,Y,N,
48166,3199780,36697351,2021,258004,980570,1,N,N,N,Y,N,L,2021-001,Y,N,
48167,3199782,36697389,2021,258004,980570,1,N,N,N,Y,N,L,2021-001,Y,N,
52420,3024492,35271511,2021,239098,942119,1,N,N,N,Y,N,I,2021-001,N,N,
52674,2912622,34594792,2021,245543,922379,2,N,N,Y,N,N,N,2021-001,N,Y,2020-001
52675,2912623,34594793,2021,245543,922379,2,N,N,Y,N,N,N,2021-001,N,Y,2020-001
52676,2912624,34594794,2021,245543,922379,2,N,N,Y,N,N,N,2021-001,N,Y,2020-001
52677,2912625,34594795,2021,245543,922379,2,N,N,Y,N,N,N,2021-001,N,Y,2020-001
52678,2912626,34594796,2021,245543,922379,2,N,N,Y,N,N,N,2021-001,N,Y,2020-001
52679,2912627,34594797,2021,245543,922379,2,N,N,Y,N,N,N,2021-001,N,Y,2020-001
52680,2912628,34594807,2021,245543,922379,2,N,N,N,Y,N,L,2021-002,N,N,
52681,2912629,34594808,2021,245543,922379,2,N,N,N,Y,N,L,2021-002,N,N,
52724,2940962,34895550,2021,253404,933929,1,N,N,N,Y,N,B,2021-001,Y,N,
53493,2931656,34766360,2021,23052,930561,1,N,N,Y,N,N,L,2021-003,N,Y,2020-003
53494,2931657,34766363,2021,23052,930561,1,N,N,Y,N,N,L,2021-003,N,N,
53495,2931376,34763167,2021,23052,930561,1,N,N,Y,N,N,L,2021-003,N,Y,2020-003
55315,2873612,34171193,2021,185885,914356,1,Y,N,Y,N,N,N,2021-002,Y,N,
55316,2873611,34171193,2021,185885,914356,1,Y,N,Y,N,N,N,2021-001,Y,N,
56442,3300609,36993647,2021,190034,985694,1,N,N,Y,N,Y,L,2021-002,N,Y,2020-001
56443,3300608,36993642,2021,190034,985694,1,N,N,Y,N,Y,L,2021-002,N,Y,2020-001
56444,3300610,36993654,2021,190034,985694,1,N,N,Y,N,Y,L,2021-002,N,Y,2020-001
56445,3300607,36993638,2021,190034,985694,1,N,N,Y,N,Y,L,2021-002,N,Y,2020-001
57376,2931437,34647572,2021,247591,926339,1,Y,N,Y,N,N,ABC,2021-003,N,N,
57377,2931436,34647572,2021,247591,926339,1,Y,N,N,Y,N,ABC,2021-002,N,N,
57378,2931438,34647771,2021,247591,926339,1,N,N,N,Y,N,C,2021-001,N,N,
57751,2913949,34610279,2021,7857,925142,1,N,Y,N,N,N,P,2021-001,N,N,
59987,3017049,35221477,2021,108922,940699,1,N,N,N,Y,N,P,2021-001,N,Y,2020-001
59988,3017048,35221474,2021,108922,940699,1,N,N,N,Y,N,P,2021-001,N,Y,2020-001
59989,3017050,35221478,2021,108922,940699,1,N,N,N,Y,N,P,2021-001,N,Y,2020-001
59990,3017051,35221490,2021,108922,940699,1,N,N,N,Y,N,P,2021-001,N,Y,2020-001
60253,3034994,35344481,2021,141384,944072,1,N,N,N,Y,N,C,2021-003,N,N,
60254,3034990,35344447,2021,141384,944072,1,N,N,N,Y,N,C,2021-003,N,N,
60255,3034993,35344474,2021,141384,944072,1,Y,N,Y,N,N,J,2021-004,N,N,
60256,3034992,35344474,2021,141384,944072,1,N,N,N,Y,N,C,2021-003,N,N,
60257,3034995,35344481,2021,141384,944072,1,Y,N,Y,N,N,J,2021-004,N,N,
60258,3034991,35344470,2021,141384,944072,1,N,N,N,Y,N,C,2021-003,N,N,
60259,3034989,35344443,2021,141384,944072,1,N,N,N,Y,N,C,2021-003,N,N,
62971,2954927,34989600,2021,194914,936287,1,N,N,N,Y,N,L,2021-002,Y,N,
64070,2897225,34452995,2021,246905,922396,1,N,N,Y,N,N,N,2021-001,N,Y,2020-001
64071,2897228,34453000,2021,246905,922396,1,N,N,Y,N,N,N,2021-001,N,Y,2020-001
64072,2897226,34452997,2021,246905,922396,1,N,N,Y,N,N,N,2021-001,N,Y,2020-001
64073,2897227,34452998,2021,246905,922396,1,N,N,Y,N,N,N,2021-001,N,Y,2020-001
64074,2897224,34452992,2021,246905,922396,1,N,N,Y,N,N,N,2021-001,N,Y,2020-001
65677,3143356,36334206,2021,257227,974289,3,N,N,Y,N,N,A,2021-001,N,N,
65678,3143357,36334206,2021,257227,974289,3,N,N,Y,N,Y,A,2021-002,N,N,
65679,3143358,36334206,2021,257227,974289,3,N,N,N,Y,Y,L,2021-003,N,N,
70097,2931567,34765331,2021,234387,930702,1,N,N,Y,N,N,P,2021-001,N,N,
70098,2931568,34765331,2021,234387,930702,1,N,N,N,Y,N,P,2021-002,N,N,
70099,2931569,34765331,2021,234387,930702,1,N,N,N,Y,Y,N,2021-003,N,N,
70100,2931570,34765331,2021,234387,930702,1,N,N,N,Y,Y,N,2021-004,N,N,
71041,2840074,33932787,2021,123503,902813,1,N,N,Y,N,N,N,2021-001,N,N,
71042,2840075,33932790,2021,123503,902813,1,N,N,Y,N,N,N,2021-001,N,N,
71043,2840076,33932792,2021,123503,902813,1,N,N,Y,N,N,N,2021-001,N,N,
71044,2840072,33932782,2021,123503,902813,1,N,N,Y,N,N,N,2021-001,N,N,
71045,2840070,33932757,2021,123503,902813,1,N,N,Y,N,N,N,2021-001,N,N,
71046,2840073,33932783,2021,123503,902813,1,N,N,Y,N,N,N,2021-001,N,N,
71047,2840071,33932779,2021,123503,902813,1,N,N,Y,N,N,N,2021-001,N,N,
71141,2882200,34367513,2021,64342,920361,1,N,N,Y,N,N,L,2021-001,N,N,
71142,2882201,34367513,2021,64342,920361,1,N,N,Y,N,N,N,2021-005,N,N,
71143,2882202,34367515,2021,64342,920361,1,N,N,Y,N,N,L,2021-002,N,N,
71144,2882203,34367515,2021,64342,920361,1,Y,N,Y,N,N,E,2021-003,N,N,
71145,2882204,34367522,2021,64342,920361,1,Y,N,N,Y,N,J,2021-006,Y,N,
71195,2882194,34367510,2021,64342,920361,1,N,N,Y,N,N,L,2021-001,N,N,
