<<<<<<< HEAD
ELECAUDITSID,ID,AUDITYEAR,DBKEY,CFDASEQNUM,CFDA,FEDERALPROGRAMNAME,AMOUNT,MAJORPROGRAM,TYPEREQUIREMENT,QCOSTS2,FINDINGS,FINDINGREFNUMS,RD,DIRECT,CFDA_PREFIX,CFDA_EXT,EIN,CFDA2,TYPEREPORT_MP,TYPEREPORT_MP_OVERRIDE,ARRA,LOANS,FINDINGSCOUNT,LOANBALANCE,PASSTHROUGHAMOUNT,AWARDIDENTIFICATION,CLUSTERNAME,PASSTHROUGHAWARD,STATECLUSTERNAME,PROGRAMTOTAL,CLUSTERTOTAL,OTHERCLUSTERNAME,CFDAPROGRAMNAME
34959943,1167420211,2021,11674,1,16.560,"NATIONAL INSTITUTE OF JUSTICE RESEARCH, EVALUATION, AND DEVELOPMENT PROJECT GRANTS",12156,N,,,,,,Y,16,560,132612524,16,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,559677,3212390,,"NATIONAL INSTITUTE OF JUSTICE RESEARCH, EVALUATION, AND DEVELOPMENT PROJECT GRANTS"
34959952,11674202110,2021,11674,10,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,292397,N,,,,,,Y,16,738,132612524,16,,,,N,0,,68787,,RESEARCH AND DEVELOPMENT,Y,,924958,3212390,,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM
34959953,11674202111,2021,11674,11,16.026,OVW RESEARCH AND EVALUATION PROGRAM,33444,N,,,,,,Y,16,026,132612524,16,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,33444,3212390,,OVW RESEARCH AND EVALUATION PROGRAM
34959954,11674202112,2021,11674,12,16.745,CRIMINAL AND JUVENILE JUSTICE AND MENTAL HEALTH COLLABORATION PROGRAM,12796,N,,,,,,N,16,745,132612524,16,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,45421,3212390,,CRIMINAL AND JUVENILE JUSTICE AND MENTAL HEALTH COLLABORATION PROGRAM
34959955,11674202113,2021,11674,13,16.745,CRIMINAL AND JUVENILE JUSTICE AND MENTAL HEALTH COLLABORATION PROGRAM,14581,N,,,,,,N,16,745,132612524,16,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,45421,3212390,,CRIMINAL AND JUVENILE JUSTICE AND MENTAL HEALTH COLLABORATION PROGRAM
34959956,11674202114,2021,11674,14,16.745,CRIMINAL AND JUVENILE JUSTICE AND MENTAL HEALTH COLLABORATION PROGRAM,7211,N,,,,,,N,16,745,132612524,16,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,45421,3212390,,CRIMINAL AND JUVENILE JUSTICE AND MENTAL HEALTH COLLABORATION PROGRAM
34959957,11674202115,2021,11674,15,16.745,CRIMINAL AND JUVENILE JUSTICE AND MENTAL HEALTH COLLABORATION PROGRAM,10833,N,,,,,,N,16,745,132612524,16,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,45421,3212390,,CRIMINAL AND JUVENILE JUSTICE AND MENTAL HEALTH COLLABORATION PROGRAM
34959961,11674202119,2021,11674,19,16.588,VIOLENCE AGAINST WOMEN FORMULA GRANTS,93655,N,,,,,,N,16,588,132612524,16,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,202715,3212390,,VIOLENCE AGAINST WOMEN FORMULA GRANTS
34959958,11674202116,2021,11674,16,16.526,OVW TECHNICAL ASSISTANCE INITIATIVE,55840,N,,,,,,Y,16,526,132612524,16,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,1208649,3212390,,OVW TECHNICAL ASSISTANCE INITIATIVE
34959959,11674202117,2021,11674,17,16.608,TRIBAL COURT ASSISTANCE PROGRAM,119152,N,,,,,,N,16,608,132612524,16,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,283775,3212390,,TRIBAL COURT ASSISTANCE PROGRAM
