,ID,REPORTID,VERSION,DBKEY,AUDITYEAR,SEQ_NUMBER,TYPE_ID,NOTE_INDEX,TITLE,CONTENT,UEI,MULTIPLEUEIS
109496,252912,904525,1,5655,2021,7,3,0,SUBRECIPIENTS,"There were no Subrecipients during the year ended June 30, 2021 as there were no subawards of federal funds.",,
109499,252913,904525,1,5655,2021,3,3,0,Loan/loan guarantee outstanding balances,SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 365300. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 244900. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 242700. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 224700. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 206500. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 302500. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 342900. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 502500. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 326100. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 348900. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 372000. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 392500. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 321500. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 377500. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 280400. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 320000. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 345200. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 665500. ,,
109500,252914,904525,1,5655,2021,2,2,2,10% De Minimis Cost Rate,The Association does not utilize an indirect cost rate as it would not be applicable to the insured loan and rental subsidy programs and those are the only direct federal programs of the Association.,,
109501,252915,904525,1,5655,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. Negative amounts, if any, shown on the Schedule represent adjustments or credits made in the normal course of business to amounts reported as expenditures in prior years. Pass-through entity identifying numbers are presented where available.",,
109502,252916,904525,1,5655,2021,5,3,0,LOANS OUTSTANDING,"The Association had U.S. Department of Housing and Urban Development Section 202 loans totaling $1,196,742 outstanding as of June 30, 2021 and Section 811 capital advance loan commitments totaling $6,081,600 as of June 30, 2021.  In accordance with the requirements of the Uniform Guidance, the total amount of these loan commitments outstanding at the beginning of the audit period have been included in the schedule of consolidated expenditures of federal awards.",,
109503,252917,904525,1,5655,2021,4,3,0,BASIS OF PRESENTATION,"The accompanying schedule of consolidated expenditures of federal awards (the Schedule) includes the federal award activity of Mental Health Association, Inc. and Affiliates under programs of the federal government for the year ended June 30, 2021. The information in this schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles and Audit Requirements for Federal Awards (Uniform Guidance).  Because the Schedule presents only a selected portion of the operations of Mental Health Association, Inc. and Affiliates, it is not intended to and does not present the consolidated financial position, changes in net assets or cash flows of Mental Health Association, Inc. and Affiliates. ",,
109504,252918,904525,1,5655,2021,6,3,0,PASS-THROUGH STATE AGENCIES,Expenditures of federal awards for funds passed through state agencies are based on information provided by the Commonwealth of Massachusetts Operational Services Division.,,
109505,252919,904525,1,5655,2021,8,3,0,DONATED EQUIPMENT,"The Association received personal protective equipment with an estimated value of $19,600 from the Massachusetts Emergency Management Agency.  This value has not been included in the Schedule of Federal Expenditures for the year ended June 30, 2021.",,
109658,273513,914243,1,42979,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting. Suchexpenditures are recognized following the cost principles contained in the Uniform Guidance,wherein certain types of expenditures are not allowable or are limited as to reimbursement.",,
109659,273514,914243,1,42979,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
