ELECAUDITHEADERID,ID,AUDITYEAR,DBKEY,FYENDDATE,AUDITTYPE,PERIODCOVERED,NUMBERMONTHS,MULTIPLEEINS,EIN,EINSUBCODE,MULTIPLEDUNS,DUNS,AUDITEENAME,STREET1,STREET2,CITY,STATE,ZIPCODE,AUDITEECONTACT,AUDITEETITLE,AUDITEEPHONE,AUDITEEFAX,AUDITEEEMAIL,AUDITEEDATESIGNED,AUDITEENAMETITLE,CPAFIRMNAME,CPASTREET1,CPASTREET2,CPACITY,CPASTATE,CPAZIPCODE,CPACONTACT,CPATITLE,CPAPHONE,CPAFAX,CPAEMAIL,CPADATESIGNED,CPANAMETITLE,COG_OVER,COGAGENCY,TYPEREPORT_FS,REPORTABLECONDITION,MATERIALWEAKNESS,MATERIALNONCOMPLIANCE,GOINGCONCERN,TYPEREPORT_MP,DOLLARTHRESHOLD,LOWRISK,REPORTREQUIRED,TOTFEDEXPEND,COPIES,REPORTABLECONDITION_MP,MATERIALWEAKNESS_MP,QCOSTS,CYFINDINGS,PYSCHEDULE,DUP_REPORTS,COG_AGENCY,OVERSIGHTAGENCY,DATERECEIVED,DATEFIREWALL,PREVIOUSDATEFIREWALL,FINDINGREFNUM,TYPEOFENTITY,IMAGE,AGENCYCFDA,INITIALDATE,DATERECEIVEDOTHER,MULTIPLE_CPAS,AUDITEECERTIFYNAME,AUDITEECERTIFYTITLE,FACACCEPTEDDATE,AUDITOR_EIN,SD_MATERIALWEAKNESS,SD_MATERIALWEAKNESS_MP,SIGNIFICANTDEFICIENCY,SIGNIFICANTDEFICIENCY_MP,SP_FRAMEWORK,SP_FRAMEWORK_REQUIRED,TYPEREPORT_SP_FRAMEWORK,SUPPRESSION_CODE,ENTITY_TYPE,TYPEAUDIT_CODE,OPEID,DATETOED,DATEFINISHED,TYPEFINDING,TYPEFUNDING,FYSTARTDATE,CPAFOREIGN,UEI,MULTIPLEUEIS,CPACOUNTRY
1484052,2288302022,2022,228830,12/31/2022 00:00:00,S,A,,N,134278617,,N,,DELTA PARTNERS MANOR II,288 S. FIRST STREET,,DREW,MS,38737,SCOTT RUSSELL,MANAGING AGENT,6018562362,,ALPHA4ONE@COMCAST.NET,03/31/2023 16:13:05,SCOTT RUSSELL-MANAGING AGENT,"HARPER, RAINS, KNIGHT & COMPANY",1052 HIGHLAND COLONY PARKWAY SUITE 100,,RIDGELAND,MS,39157,JOEY FLETCHER,LEAD AUDITOR,6016050722,,JFLETCHER@HRKCPA.COM,03/31/2023 16:17:06,,O,,U,N,N,N,N,U,750000,Y,,2157610,,N,N,N,N,N,N,,14,03/31/2023 00:00:00,04/04/2023 01:30:04,,N,903,1,x00,03/31/2023 00:00:00,,N,SCOTT RUSSELL,MANAGING AGENT,03/31/2023 00:00:00,640809101,N,,N,N,,,,,Non-profit,UG,,,,,,01/01/2022 00:00:00,,NW6ZDZNA9VY7,N,US
1478910,1940172022,2022,194017,06/30/2022 00:00:00,S,A,,N,556000313,,N,131199796,DODDRIDGE COUNTY BOARD OF EDUCATION,268 BULLDOG DRIVE,,WEST UNION,WV,26456,KALEIGH DOTSON,TREASURER,3048732300,,KALEIGH.DOTSON@K12.WV.US,03/30/2023 10:53:16,KALEIGH DOTSON-TREASURER/CSBO,"SUTTLE & STALNAKER, PLLC","1411 VIRGINIA STREET EAST, SUITE 100",,CHARLESTON,WV,25301,"CHRIS DEWEESE, CPA, CGMA",MEMBER,3043434126,,CDEWEESE@SUTTLECPAS.COM,03/31/2023 07:17:49,,O,,U,Y,N,N,N,U,750000,Y,,3039483,,N,N,N,N,N,N,,84,03/31/2023 00:00:00,04/04/2023 01:30:04,,N,505,1,x00,03/31/2023 00:00:00,,N,KALEIGH DOTSON,TREASURER/CSBO,03/31/2023 00:00:00,550538163,N,,Y,N,,,,,Local government,UG,,04/24/2023 12:57:16,04/27/2023 09:05:25,N,G,07/01/2021 00:00:00,,FKGTR6WEAGJ9,N,US
1475410,1824082022,2022,182408,06/30/2022 00:00:00,S,A,,N,133651283,,N,100971738,"POSTGRADUATE CENTER WEST 98TH STREET RESIDENCE, INC",158 EAST 35TH STREET,,NEW YORK,NY,10016,DALER AMONOV,CFO,2128895500,,DAMONOV@PGCMH.ORG,03/22/2023 10:43:19,DALER AMONOV-CHIEF FINANCIAL OFFICER,"PKF O'CONNOR DAVIES, LLP",500 MAMARONECK AVENUE,,HARRISON,NY,10528,JENNIFER GALASSO,JGALASSO@PKFOD.COM,9143818900,,JGALASSO@PKFOD.COM,03/21/2023 21:23:16,,O,,U,N,N,N,N,U,750000,Y,,1891538,,N,N,N,N,N,N,,14,03/22/2023 00:00:00,03/25/2023 01:30:06,,N,903,1,x00,03/22/2023 00:00:00,,N,DALER AMONOV,CHIEF FINANCIAL OFFICER,03/22/2023 00:00:00,271728945,N,,N,N,,,,,Non-profit,UG,,,,,,07/01/2021 00:00:00,,PSTG1336RADA,N,US
1461720,2567972022,2022,256797,06/30/2022 00:00:00,S,A,,N,842196063,,N,,ALAMANCE COMMUNITY SCHOOL,195 KRONBERGS COURT,,HAW RIVER,NC,27258,LESLIE PAYNTER,FINANCE OFFICER,3362705062,,LPAYNTER@ALAMANCECOMMUNITYSCHOOL.NET,01/29/2023 16:40:09,LESLIE PAYNTER-MANAGING DIRECTOR,"POTTER & COMPANY, PA",434 COPPERFIELD BLVD NE,,CONCORD,NC,28025,ERIC SMITH,AUDITOR,7047868189,,ESMITH@GOTOPOTTER.COM,01/25/2023 11:03:17,,O,,U,N,N,N,N,,750000,N,,1192625,,N,N,N,N,N,N,,84,01/29/2023 00:00:00,02/02/2023 01:30:06,,N,888,1,x00,01/29/2023 00:00:00,,N,LESLIE PAYNTER,MANAGING DIRECTOR,01/29/2023 00:00:00,561220683,N,,N,N,,,,,Non-profit,UG,,02/08/2023 13:40:21,02/09/2023 10:07:22,N,G,07/01/2021 00:00:00,,G9VJKSEV7JL7,N,US
1454747,2558122022,2022,255812,06/30/2022 00:00:00,S,A,,N,376003445,,N,184029569,BETHEL GRADE SCHOOL DISTRICT 82,1201 BETHEL ROAD,,MT. VERNON,IL,62864,CHARLEY CASS,SUPERINTENDENT,6182448095,,CCASS@BETHELSCHOOL.NET,11/02/2022 16:40:52,CHARLEY CASS-SUPERINTENDENT,SUSAN J LYONS CPA PC,5859 US HIGHWAY 51,,ODIN,IL,62870,"SUSAN J. LYONS, CPA, PC",PRESIDENT,6182673213,,SLYONS1007@GMAIL.COM,11/02/2022 16:46:06,,O,,AS,N,Y,N,N,U,750000,N,,836132,,N,N,N,N,N,N,,84,11/02/2022 00:00:00,11/04/2022 01:30:07,,N,888,1,x00,11/02/2022 00:00:00,,N,CHARLEY CASS,SUPERINTENDENT,11/02/2022 00:00:00,364149296,Y,,N,N,REGULATORY,Y,QA,,Local government,UG,,11/08/2022 13:09:01,11/17/2022 07:19:49,N,G,07/01/2021 00:00:00,,E6XNZSFJ9FK6,N,US
1467954,1831262022,2022,183126,09/30/2022 00:00:00,S,A,,N,742790736,,N,948187653,PORT AUTHORITY OF SAN ANTONIO,907 BILLY MITCHELL BLVD,,SAN ANTONIO,TX,78225,PATRICK CRUZEN,CFO,2103627868,,PATRICK.CRUZEN@PORTSANANTONIO.US,01/31/2023 11:25:36,PATRICK CRUZEN-CFO,"FORVIS, LLP","8200 WEST INTERSTATE 10, SUITE 900",,SAN ANTONIO,TX,78230,MAKAYLA MATHESON,PARTNER,2103419400,,MAKAYLA.MATHESON@FORVIS.COM,01/31/2023 11:02:58,,O,,U,N,N,N,N,U,750000,Y,,5423954,,N,N,N,N,N,N,,12,01/31/2023 00:00:00,02/03/2023 01:30:06,,N,209,1,x00,01/31/2023 00:00:00,,N,PATRICK CRUZEN,CFO,01/31/2023 00:00:00,440160260,N,,N,N,,,,,Local government,UG,,,,,,10/01/2021 00:00:00,,NJBKV6T66FS8,N,US
1453174,2275752022,2022,227575,06/30/2022 00:00:00,S,A,,N,113716394,,N,809080695,"PLYMOUTH HOMES, INC.",22 S. HOWARD STREET,,BALTIMORE,MD,21201,KEVIN GREOSKI,TREASURER,4103664299,,KEVING@PEPONLINE.ORG,01/05/2023 13:49:10,KEVIN GREOSKI-VP/CFO,"PKF O'CONNOR DAVIES, LLP","2 BETHESDA METRO CENTER, SUITE 420",,BETHESDA,MD,20814,STEWART GRUBMAN,PARTNER,3016523464,,SGRUBMAN@PKFOD.COM,01/05/2023 11:41:00,,O,,U,N,N,N,N,U,750000,Y,,1234187,,N,N,N,N,N,N,,14,01/05/2023 00:00:00,01/10/2023 01:30:06,,N,903,1,x00,01/05/2023 00:00:00,,N,KEVIN GREOSKI,VP/CFO,01/05/2023 00:00:00,271728945,N,,N,N,,,,,Non-profit,UG,,,,,,07/01/2021 00:00:00,,GRFVL5UR43N5,N,US
1463910,398052022,2022,39805,09/30/2022 00:00:00,S,A,,N,311207764,,N,,FIND-A-WAY II COMMUNITY URBAN REDEVELOPMENT CORPORATION,"45 NORTH FOURTH STREET, SUITE 200",,COLUMBUS,OH,432153602,CHRISTOPHER GAHN,CONTROLLER,6144818106,,CGAHN@SHOWEMGMT.COM,01/04/2023 17:18:52,CHRISTOPHER GAHN-CONTROLLER,CLARK SCHAEFER HACKETT & CO,"14 EAST MAIN STREET, SUITE 500",,SPRINGFIELD,OH,45502,JESSE YOUNG,SHAREHOLDER,9373992000,,JYOUNG@CSHCO.COM,01/04/2023 17:28:02,,O,,U,N,N,N,N,U,750000,Y,,1841861,,N,N,N,N,N,N,,14,01/04/2023 00:00:00,01/06/2023 01:30:06,,N,903,1,x00,01/04/2023 00:00:00,,N,CHRISTOPHER GAHN,CONTROLLER,01/04/2023 00:00:00,310800053,N,,N,N,,,,,Non-profit,UG,,,,,,10/01/2021 00:00:00,,WFH4KJ21L6A6,N,US
1468286,2150862022,2022,215086,06/30/2022 00:00:00,S,A,,N,680174773,,N,,COLUMBIA ELEMENTARY SCHOOL DISTRICT,10140 OLD OREGON TRAIL,,REDDING,CA,96003,CATHLEEN SERNA,CHIEF BUSINESS OFFICIAL,5307221702,,CSERNA@COLUMBIASD.COM,02/15/2023 12:42:20,CATHLEEN SERNA-DIRECTOR OF BUSINESS SERVICES,"EIDE BAILLY, LLP","10681 FOOTHILL BLVD, SUITE 300",,RANCHO CUCAMONGA,CA,91730,ROYCE TOWNSEND,PARTNER,9097552830,,RTOWNSEND@EIDEBAILLY.COM,02/15/2023 12:30:53,,O,,U,N,N,N,N,U,750000,Y,,2035639,,N,N,N,N,N,N,,84,02/15/2023 00:00:00,02/17/2023 01:30:07,,N,505,1,x00,02/15/2023 00:00:00,,N,CATHLEEN SERNA,DIRECTOR OF BUSINESS SERVICES,02/15/2023 00:00:00,450250958,N,,N,N,,,,,Local government,UG,,02/22/2023 14:55:46,02/23/2023 10:06:56,N,G,07/01/2021 00:00:00,,MGDBEV7RGFF1,N,US
1477385,540712022,2022,54071,06/30/2022 00:00:00,S,A,,N,371290943,,N,806810222,ILLINOIS ASSISTIVE TECHNOLOGY PROGRAM,701 NORTH WALNUT STREET,,SPRINGFIELD,IL,62701,SHELLY LOWE,CHIEF FINANCIAL OFFICER,2175227985,,SLOWE@ILTECH.ORG,03/16/2023 11:07:50,SHELLY LOWE-CHIEF FINANCIAL OFFICER,CINDY A BOBELL CPA,10653 KHOURY LEAGUE ROAD,,MARION,IL,62959,CINDY A. BOBELL,CPA/OWNER,6189979711,,CABCPA@FRONTIER.COM,03/15/2023 09:42:57,,O,,U,N,N,N,N,U,750000,Y,,3539191,,N,N,N,N,N,N,,84,03/16/2023 00:00:00,03/21/2023 01:30:07,,N,909,1,x00,03/16/2023 00:00:00,,N,SHELLY LOWE,CHIEF FINANCIAL OFFICER,03/16/2023 00:00:00,371312393,N,,N,N,,,,,Non-profit,UG,,03/22/2023 13:44:25,03/23/2023 08:41:55,,N,07/01/2021 00:00:00,,DDFQSUJ4DPZ3,N,US
