SEQ_NUMBER,DBKEY,AUDITYEAR,FINDINGREFNUMS,TEXT,CHARTSTABLES,REPORTID,VERSION,UEI,MULTIPLEUEIS
51625,148665,2022,2022-001,"Finding Number: 2022-001
Condition: The quarterly report for the student portion of HEERF was not posted on the University's website within the timeframe allowed in one instance.
Planned Corrective Action: The University agrees with the finding and recommendation. The University spent and accounted for $75.6 million in HEERF grants appropriately and followed all applicable guidelines. The University also adhered to the various reporting guidelines that changed multiple times during the grant period, with the exception of this one untimely report posting to the Oakland University website. This was caused by personnel turnover that occurred at that time in multiple departments which were part of the process. This situation was unique and has been corrected.
Contact person responsible for corrective action: James Hargett, Associate Vice President and Controller
Anticipated Completion Date: Completed",N,974778,1,HJTLACN81NK1,N
47584,196318,2022,2022-001,"Finding Reference Number:	2022-001
Concur or Do Not Concur:	Concur
Agree or Disagree with Auditor Recommendations:	Agree
Actions Taken or Planned on the Finding:	Management agrees with the finding.  The excess funds were accrued to submit to HUD.
Completion Date:	August 9, 2022
",N,957046,1,MU66HXAWRF95,N
50613,198266,2022,2022-001,"CORRECTIVE ACTION PLAN
Project Legal Name: Catherine Booth Towers Orlando, FL (¿ Project of Catherine Booth
Residence, Inc., a Florida Corporation)
HUD Project No.: 067-EE054-WAH
Audit Firm: CohnReznick LLP
Period covered by the audit: 10/1/2021-9/30/2022
Corrective Action Plan prepared by:
Name: Sriparna Mitra
Position: HUD Specialist, THQ (Legal)
Telephone Number: 404-728-6700
A. Current Findings on the Schedule of Findings, Questioned Costs and Recommendations
1. Finding 2022-001
a. Comments on the Finding and Each Recommendation
The auditee agrees with the finding. The late completion of the audits for fiscal
years 2020 and 2021 has contributed to management not getting the budgets for
the new fiscal years submitted and approved by HUD timely. As a result,
management did not have access to the EIV system for a period of time so that
they could verify income. This issue is anticipated again in fiscal year 2023
because of the late submission of the fiscal year 2022 budget which required the
fiscal year 2021 actual data.
b. Action(s) Taken or Planned on the Finding
The late completion of our audits for fiscal years 2020 and 2021 has contributed
to our not getting our budgets for the new fiscal years submitted and approved
timely. Therefore, Management did not have access to the Enterprise Income
Verification (EIV) system [the system used to access Social Security information
and Health and Human Service information] for a period of time so that they
could verify income. This issue is anticipated again in fiscal year 2023 because of
the late submission of the fiscal year 2022 budget which required the fiscal year
2021 actual data. Steps are being taken to have the fiscal year 2022 audit
completed in a reasonable timeframe, and we do not anticipate the same
problem going forward.
B. Status of Corrective Actions on Findings Reported in the Schedule of the Status of Prior
Year Findings, Questioned Costs and Recommendations
1. 2021-001
In process. See finding 2022-001.
2. 2021-002
Cleared.",N,971740,1,D6VLAANVC5E7,N
53470,57575,2022,2022-001,"Finding Number: 2022-001
Condition: The University did not properly post the HEERF Quarterly Reporting Form by quarter to its website. Additionally, for the HEERF Quarterly Reporting Forms that were posted to its website, the student and institutional expenditures were reported cumulative.  
Planned Corrective Action: The University will correct the HEERF Quarterly Reporting Forms to post each individual quarter to its website and ensure the student and institutional expenditures included in the reports reflect the individual quarter expenditures and are not cumulative.
Contact person responsible for corrective action:  Beth Dyksta

Anticipated Completion Date: April 30, 2023
",N,978318,1,NNLQK7LNGL93,N
53581,251020,2022,2022-004,"Finding 2022-004 – Significant Deficiency 
Assistance Listing:  21.027 – Coronavirus State and Local Fiscal Recovery Funds (CSLFRF)
	Federal Grantor:  Department of the Treasury 
Compliance Requirement:  Procurement and Suspension and Debarment
Condition:  The District used a sole source authorization for the procurement of a Type-1 Fire Engine but a competitive bid process should have been used to comply with Uniform Guidance.
Recommendation:  We recommend the District work with FEMA to obtain written approval for the sole source procurement, which is one of the exceptions to noncompetitive procurements.
Management Response and Corrective Action Plan: The District shall revise policies and procedures to incorporate the requirements in the Uniform Guidance in its sole source approval process when it comes to selecting and approving vendors for expenditures that relates to a federal grant. The District will also work with the awarding agency to ensure written approval are obtained for sole source purchases.",N,980951,1,GM27HGUL61B5,N
53582,251020,2022,2022-002,"Finding 2022-002 – Significant Deficiency 
Award No.:  97.083, Staffing for Adequate Fire and Emergency Response
Federal Grantor:  U.S.  Department of Homeland Security, Federal Emergency Management Agency
Compliance Requirement:  Other compliance requirements.
Condition:  The schedule of Expenditures of Federal Awards (SEFA) was not complete, and expenditures reported on the SEFA were revised during the single audit.
Recommendation:  We recommend additional review procedures be implemented to ensure the SEFA is complete and accurate when the single audit begins.
Management Response and Corrective Action Plan: The Finance division will work with other departments to ensure that data provided in the SEFA are complete and accounted for on an accrual basis. We will also implement efficiencies in our accounting systems to ensure expenditures are captured correctly to prevent errors and omissions. Additional review will be completed by the Finance Director for completeness.",N,980951,1,GM27HGUL61B5,N
53583,251020,2022,2022-003,"Finding 2022-003 – Significant Deficiency 
Assistance Listing:  21.027 – Coronavirus State and Local Fiscal Recovery Funds (CSLFRF)
Federal Grantor:  Department of the Treasury
Compliance Requirement:  Reporting
Condition:  The Project and Expenditure Reports were not filed.
Recommendation:  We recommend the District file the initial Project and Expenditures Report for the period covering March 3, 2021 to March 31,2022 as soon as possible.  Subsequent annual reports should be filed by the April 30, 2023 deadline.
Management Response and Corrective Action Plan: The District has confirmed with the City of Elk Grove that as the main recipient of the grant, the City has filed the project and expenditure reports with the Treasury Department. In addition to what has already been report, the District will establish the proper authority to report the project and expenditure reports to the Treasury Department for period covering March 3, 2021 to March 31, 2022. The District will ensure that going forward projects and expenditures are reported in accordance with the schedule set forth by the guidance issued by the Treasury.",N,980951,1,GM27HGUL61B5,N
44754,181526,2022,2022-003,"Finding 2022-002
The Authority agrees with this finding
•	As the Authority transitioned housing/accounting software and staff during the year, the procedures for reviewing and approving journal entries was not documented as it had been in the past.  Various journal entries were not reviewed and approved by someone other than the preparer.
o	As of April 1, 2022, all journal entries are reviewed by both the Director of Accounting and Lead Staff Accountant.  Part of the previous process included a listing of all journal entries for the month and a sign off sticker that was placed in the monthly journal entry book.  We have located a similar report in the current operating system and returned to our previous process of review.

Section III – Federal Awards findings
Finding 2022-003
The Authority agrees with this finding.
•	The Authority utilized its HCV HUD Cares Act funding to pay for its annual software and support that covered the period of July 1, 2021 to June 30, 2022.  As a result, one half of this expense for the period after December 31, 2021 and is not an allowable expense for HUD Cares Act grant.
o	Effective immediately, specialty funding that has a deadline will not be used on invoices that are considered prepaid.  If funding is directly related to an invoice that would be considered a prepaid, and the period of performance extends beyond the funding deadline, a detailed analysis will be completed to ensure proper utilization of finding.
",N,948652,1,MCD5SMMWNBE5,N
48313,180878,2022,2022-002,"FINDINGS – FEDERAL AWARD PROGRAM AUDIT

DEPARTMENT OF TRANSPORTATION


2022-002	Airport Improvement Program – 20.106

Recommendation: Procedures should be put in place to ensure weekly certified payrolls are received from construction contractors for conformance with Uniform Guidance.

Action Taken: Airport management will ensure weekly certified payrolls are received during the grant administration process and maintained in grant files.  
",N,965703,1,HTNZMSGBKFG1,N
56823,177310,2022,2022-001,"CORRECTIVE ACTION PLAN FOR FINDINGS REPORTED UNDER UNIFORM GUIDANCE
Central Valley School District No. 356
September 1, 2021 through August 31, 2022
This schedule presents the corrective action planned by the District for findings reported in this report in accordance with Title 2 U.S. Code of Federal Regulations (CFR) Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance).
Finding ref number:
2022-001
Finding caption:
The District did not have adequate internal controls for ensuring compliance with wage rate requirements.
Name, address, and telephone of District contact person:
Mathew Knott, Director of Business Services
2218 N. Molter Road
Liberty Lake, WA 99019
509-558-5437
Corrective action the auditee plans to take in response to the finding:
The District agrees with the State Auditor’s Office that we did not have adequate internal controls for ensuring compliance with federal prevailing wage rate requirements as noted. The District used the same process as noted in this Finding in the prior audit which did not have any exceptions noted by the State Auditor’s Office. Moving forward the District will ensure federal prevailing wage rate clauses are in contracts entered into using federal funds and that weekly certified payroll reports are collected from contractors and subcontractors.
Anticipated date to complete the corrective action: August 2023",N,982136,1,LJNSJ1C1KU15,N
