,ID,AUDITYEAR,DBKEY,EIN,EINSEQNUM,DUNS,DUNSEQNUM
1907,1814502022047799846D,2022,181450,,,047799846,1
1908,1814502022520591421E,2022,181450,520591421,1,,
2039,2176532022134306253E,2022,217653,134306253,1,,
2040,2176532022201302300E,2022,217653,201302300,2,,
2041,2176532022201302341E,2022,217653,201302341,3,,
2042,2176532022201354783E,2022,217653,201354783,4,,
2043,2176532022201354815E,2022,217653,201354815,5,,
2044,2176532022201354842E,2022,217653,201354842,6,,
2045,2176532022201354866E,2022,217653,201354866,7,,
2046,2176532022201354900E,2022,217653,201354900,8,,
2047,2176532022201354925E,2022,217653,201354925,9,,
2048,2176532022201354943E,2022,217653,201354943,10,,
2049,2176532022201354966E,2022,217653,201354966,11,,
2050,2176532022201354996E,2022,217653,201354996,12,,
2051,2176532022201355025E,2022,217653,201355025,13,,
2052,2176532022201355043E,2022,217653,201355043,14,,
2053,2176532022201775147E,2022,217653,201775147,15,,
2054,2176532022201799492E,2022,217653,201799492,16,,
2055,2176532022201799512E,2022,217653,201799512,17,,
2056,2176532022201824819E,2022,217653,201824819,18,,
2057,2176532022201824842E,2022,217653,201824842,19,,
2058,2176532022201961908E,2022,217653,201961908,20,,
2059,2176532022202626693E,2022,217653,202626693,21,,
2060,2176532022202626756E,2022,217653,202626756,22,,
2061,2176532022202675576E,2022,217653,202675576,23,,
2062,2176532022202807133E,2022,217653,202807133,24,,
2063,2176532022202809665E,2022,217653,202809665,25,,
2064,2176532022205725256E,2022,217653,205725256,26,,
2065,2176532022205834554E,2022,217653,205834554,27,,
2066,2176532022205834618E,2022,217653,205834618,28,,
2067,2176532022205834691E,2022,217653,205834691,29,,
2068,2176532022208544183E,2022,217653,208544183,30,,
2069,2176532022237302131E,2022,217653,237302131,31,,
2070,2176532022260211139E,2022,217653,260211139,32,,
2071,2176532022260725134E,2022,217653,260725134,33,,
2072,2176532022262731197E,2022,217653,262731197,34,,
2073,2176532022262755834E,2022,217653,262755834,35,,
2074,2176532022262755908E,2022,217653,262755908,36,,
2075,2176532022262755947E,2022,217653,262755947,37,,
2076,2176532022262896203E,2022,217653,262896203,38,,
2077,2176532022262896253E,2022,217653,262896253,39,,
2078,2176532022263692381E,2022,217653,263692381,40,,
2079,2176532022263928392E,2022,217653,263928392,41,,
2080,2176532022263928399E,2022,217653,263928399,42,,
2081,2176532022263928408E,2022,217653,263928408,43,,
