ID,FEDERALPROGRAMNAME,CFDAPREFIX,CFDAEXT
1,AGRICULTURAL RESEARCH_BASIC AND APPLIED RESEARCH,10,001
2,"PLANT AND ANIMAL DISEASE, PEST CONTROL, AND ANIMAL CARE",10,025
3,WILDLIFE SERVICES,10,028
4,INDEMNITY PROGRAM,10,030
5,COMMODITY LOANS AND LOAN DEFICIENCY PAYMENTS,10,051
6,DAIRY INDEMNITY PROGRAM,10,053
7,EMERGENCY CONSERVATION PROGRAM,10,054
8,DIRECT AND COUNTER-CYCLICAL PAYMENTS PROGRAM,10,055
9,FARM STORAGE FACILITY LOANS,10,056
10,CONSERVATION RESERVE PROGRAM,10,069
11,WETLANDS RESERVE PROGRAM,10,072
12,MILK INCOME LOSS CONTRACT PROGRAM,10,080
13,TOBACCO TRANSITION PAYMENT PROGRAM,10,085
14,BIOMASS CROP ASSISTANCE PROGRAM,10,087
15,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,10,090
16,VOLUNTARY PUBLIC ACCESS AND HABITAT INCENTIVE PROGRAM,10,093
17,REIMBURSEMENT TRANSPORTATION COST PAYMENT PROGRAM FOR GEOGRAPHICALLY DISADVANTAGED FARMERS AND RANCHERS,10,098
18,CONSERVATION LOANS,10,099
19,EMERGENCY FOREST RESTORATION PROGRAM,10,102
20,"DISASTER RELIEF APPROPRIATIONS ACT, EMERGENCY CONSERVATION PROGRAM",10,105
21,"DISASTER RELIEF APPROPRIATIONS ACT, EMERGENCY FOREST RESTORATION PROGRAM",10,106
22,LIVESTOCK INDEMNITY PROGRAM-2014 FARM BILL,10,108
23,LIVESTOCK FORAGE PROGRAM,10,109
24,"EMERGENCY ASSISTANCE FOR LIVESTOCK, HONEYBEES AND FARM-RAISED FISH PROGRAM",10,110
25,TREE ASSISTANCE PROGRAM,10,111
26,COTTON TRANSITION ASSISTANCE PROGRAM,10,114
27,MARKET NEWS,10,153
28,MARKETING AGREEMENTS AND ORDERS,10,155
29,FEDERAL-STATE MARKETING IMPROVEMENT PROGRAM,10,156
30,INSPECTION GRADING AND STANDARDIZATION,10,162
31,MARKET PROTECTION AND PROMOTION,10,163
32,WHOLESALE FARMERS AND ALTERNATIVE MARKET DEVELOPMENT,10,164
33,PERISHABLE AGRICULTURAL COMMODITIES ACT,10,165
34,TRANSPORTATION SERVICES,10,167
35,FARMERS' MARKET AND LOCAL FOOD PROMOTION PROGRAM,10,168
36,SPECIALTY CROP BLOCK GRANT PROGRAM - FARM BILL,10,170
37,ORGANIC CERTIFICATION COST SHARE PROGRAMS,10,171
38,LOCAL FOOD PROMOTION PROGRAM,10,172
39,SHEEP PRODUCTION AND MARKETING GRANT PROGRAM,10,173
40,"GRANTS FOR AGRICULTURAL RESEARCH, SPECIAL RESEARCH GRANTS",10,200
41,COOPERATIVE FORESTRY RESEARCH,10,202
42,PAYMENTS TO AGRICULTURAL EXPERIMENT STATIONS UNDER THE HATCH ACT,10,203
43,PAYMENTS TO 1890 LAND-GRANT COLLEGES AND TUSKEGEE UNIVERSITY,10,205
44,GRANTS FOR AGRICULTURAL RESEARCH_COMPETITIVE RESEARCH GRANTS,10,206
45,ANIMAL HEALTH AND DISEASE RESEARCH,10,207
46,HIGHER EDUCATION Ð GRADUATE FELLOWSHIPS GRANT PROGRAM,10,210
47,SMALL BUSINESS INNOVATION RESEARCH,10,212
48,SUSTAINABLE AGRICULTURE RESEARCH AND EDUCATION,10,215
49,1890 INSTITUTION CAPACITY BUILDING GRANTS,10,216
50,HIGHER EDUCATION - INSTITUTION CHALLENGE GRANTS PROGRAM,10,217
51,BIOTECHNOLOGY RISK ASSESSMENT RESEARCH,10,219
52,HIGHER EDUCATION - MULTICULTURAL SCHOLARS GRANT PROGRAM,10,220
53,TRIBAL COLLEGES EDUCATION EQUITY GRANTS,10,221
54,TRIBAL COLLEGES ENDOWMENT PROGRAM,10,222
55,HISPANIC SERVING INSTITUTIONS EDUCATION GRANTS,10,223
56,COMMUNITY FOOD PROJECTS,10,225
57,SECONDARY AND TWO-YEAR POSTSECONDARY AGRICULTURE EDUCATION CHALLENGE GRANTS,10,226
58,1994 INSTITUTIONS RESEARCH PROGRAM,10,227
59,ALASKA NATIVE SERVING AND NATIVE HAWAIIAN SERVING INSTITUTIONS EDUCATION GRANTS,10,228
60,"AGRICULTURAL AND RURAL ECONOMIC RESEARCH, COOPERATIVE AGREEMENTS AND COLLABORATIONS",10,250
61,CONSUMER DATA AND NUTRITION RESEARCH,10,253
62,RESEARCH INNOVATION AND DEVELOPMENT GRANTS IN ECONOMIC (RIDGE),10,255
63,AGRICULTURAL MARKET AND ECONOMIC RESEARCH,10,290
64,AGRICULTURAL AND FOOD POLICY RESEARCH CENTERS,10,291
65,INTEGRATED PROGRAMS,10,303
66,HOMELAND SECURITY_AGRICULTURAL,10,304
67,INTERNATIONAL SCIENCE AND EDUCATION GRANTS,10,305
68,BIODIESEL,10,306
69,ORGANIC AGRICULTURE RESEARCH AND EXTENSION INITIATIVE,10,307
70,RESIDENT INSTRUCTION GRANTS FOR INSULAR AREA ACTIVITIES,10,308
71,SPECIALTY CROP RESEARCH INITIATIVE,10,309
72,AGRICULTURE AND FOOD RESEARCH INITIATIVE (AFRI),10,310
73,BEGINNING FARMER AND RANCHER DEVELOPMENT PROGRAM,10,311
74,BIOMASS RESEARCH AND DEVELOPMENT INITIATIVE COMPETITIVE GRANTS PROGRAM (BRDI),10,312
75,VETERINARY MEDICINE LOAN REPAYMENT PROGRAM,10,313
76,NEW ERA RURAL TECHNOLOGY COMPETITIVE GRANTS PROGRAM,10,314
77,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS TRAINING COORDINATION PROGRAM (TAAF),10,315
78,HEALTHY URBAN FOOD ENTERPRISE DEVELOPMENT CENTER (HUFED),10,316
79,FOOD AID NUTRITION ENHANCEMENT PROGRAM,10,317
80,"WOMEN AND MINORITIES IN SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS FIELDS",10,318
81,FARM BUSINESS MANAGEMENT AND BENCHMARKING COMPETITIVE GRANTS PROGRAM,10,319
82,SUN GRANT PROGRAM,10,320
83,DISTANCE EDUCATION GRANTS FOR INSTITUTIONS OF HIGHER EDUCATION IN INSULAR AREAS,10,322
84,AFGHANISTAN AGRICULTURAL EXTENSION PROJECT (AAEP),10,324
85,PEOPLEÕS GARDEN GRANT PROGRAM,10,325
86,CAPACITY BUILDING FOR NON-LAND GRANT COLLEGES OF AGRICULTURE (NLGCA),10,326
87,COMMON BEAN PRODUCTIVITY RESEARCH FOR GLOBAL FOOD SECURITY COMPETITIVE PROGRAM,10,327
88,"NATIONAL FOOD SAFETY TRAINING, EDUCATION, EXTENSION, OUTREACH, AND TECHNICAL ASSISTANCE COMPETITIVE GRANTS PROGRAM",10,328
89,CROP PROTECTION AND PEST MANAGEMENT COMPETITIVE GRANTS PROGRAM,10,329
90,ALFALFA AND FORAGE RESEARCH PROGRAM,10,330
91,FOOD INSECURITY NUTRITION INCENTIVE GRANTS PROGRAM,10,331
92,TECHNICAL ASSISTANCE TO COOPERATIVES,10,350
