Program Number,Program Title,Types of Assistance,Department/Ind. Agency,Sub-Tier,Related Federal Assistance,Last Date Modified,Date Published,Funded,POC Information
97.156,Tribal Cybersecurity Grant Program,B - Project Grants (Discretionary),"HOMELAND SECURITY, DEPARTMENT OF",FEDERAL EMERGENCY MANAGEMENT AGENCY,,"Dec 31, 2024","Dec 31, 2024",True,"Department of Homeland Security/ FEMA /Public Assistance Division
400 C St. SW,, Washington DC 20523
(800) 368-6498
"
93.976,Primary Care Medicine and Dentistry Clinician Educator Career Development Awards,B - Cooperative Agreements,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Dec 31, 2024","Dec 31, 2024",True,"Kelly Kerr
Division of Medicine and Dentistry, Bureau of Health Workforce, Health Resources and Services Administration, Rockville MD 20857
301-443-4343
"
93.969,PPHF Geriatric Education Centers,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Dec 31, 2024","Dec 31, 2024",True,"Jennifer Solomon, MA,  Medical Training and Geriatrics Branch, Division of Medicine and Dentistry, Bureau of Health Workforce
Division of Medicine and Dentistry
Bureau of Health Workforce, Rockville MD 20857
301-443-0024
"
93.107,Area Health Education Centers,B - Cooperative Agreements,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.824,"Dec 31, 2024","Dec 31, 2024",True,"Tamara Barbee, Public Health Analyst, Health Careers Pipeline Branch
Division of Health Careers and Financial Support
Bureau of Health Workforce, Rockville  MD 20857
(301) 443-6293
"
93.191,Graduate Psychology Education,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Dec 31, 2024","Dec 31, 2024",True,"Peter Mcpherson, Project Officer, Behavioral and Public Health Branch, Division of Nursing and Public Health
5600 Fishers Lane Parklawn Building, Rockville MD 20857
301-443-6752
"
93.884,Primary Care Training and Enhancement,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Dec 31, 2024","Dec 31, 2024",True,"Cynthia Harne, Medical Training and Geriatrics Branch, Division of Medicine and Dentistry, HRSA Bureau of Health Workforce Health Resources and Services Administration, Department of Health and Human Services
5600 Fishers Lane, Room 15N-18, Rockville MD 20857
301-443-7661
"
93.247,Advanced Nursing Education Workforce Grant Program,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Dec 31, 2024","Dec 31, 2024",True,"Michael McCalla, Public Health Analyst/Project Officer, Department of Health and Human Services, Health Resources and Services Administration, Bureau of Health Workforce Division of Nursing and Public Health
5600 Fishers Lane, Room 11N94C, Rockville MD 20857
(301) 443-0856
"
93.822,Health Careers Opportunity Program (HCOP),B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Dec 31, 2024","Dec 31, 2024",True,"Audrey Adade, Division of Health Careers and Financial Support
Bureau of Health Workforce, Rockville MD 20857
(301)594-4479
"
93.25,Geriatric Academic Career Awards Department of Health and Human Services,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Dec 31, 2024","Dec 31, 2024",True,"Jacqueline Kreinik, Project Officer, Medical Training and Geriatric Branch, Division of Medicine and Dentistry, Bureau of Health Workforce, Health Resources and Services Administration
5600 Fishers Lane, Rockville MD 20857
301-945-9839
"
93.732,Mental and Behavioral Health Education and Training Grants,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.243,"Dec 31, 2024","Dec 31, 2024",True,"Behavioral Health Workforce Education and Training Program: Isabel Gorgoroso, Project Officer, Division of Nursing and Public Health, Bureau of Health Workforce,
Health Resources and Services Administration; 5600 Fishers Lane, Room 11N130A, Rockville MD 20857
301-443-2351
"
93.178,Nursing Workforce Diversity,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.417,"Dec 31, 2024","Dec 31, 2024",True,"Jasmine Price (NWD)
Division of Nursing and Public Health, Bureau of Health Workforce, Health Resources and Services Administration, Rockville MD 20857
301-443-7151
"
93.059,"Training in General, Pediatric, and Public Health Dentistry",B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Dec 31, 2024","Dec 31, 2024",True,"CDR Tracy Glascoe, Chief, Oral Health Branch, Division of Medicine and Dentistry, Bureau of Health Workforce
5600 Fishers Lane, Rockville  MD 20857
240-478-1563
"
