DBKEY,EIN,UEI,AUDITEENAME,COGAGENCY,DATE_ADDED
8503,111631788,,THE JAMAICA HOSPITAL,10,8/8/2022
8512,111631837,,WYCKOFF HEIGHTS MEDICAL CENTER,10,10/5/2022
13163,133179546,,FOOD BANK FOR NEW YORK CITY AND SUBSIDIARY,10,4/10/2022
20576,221487602,,"ST. JOSEPH'S HEALTH, INC.",10,12/3/2022
44372,341517671,,PROMEDICA HEALTH SYSTEM AND SUBSIDIARIES,10,10/3/2022
49722,362971864,,GREATER CHICAGO FOOD DEPOSITORY,10,12/16/2021
56674,382515765,,"FOOD BANK COUNCIL OF MICHIGAN, INC.",10,3/25/2021
78063,530242652,,THE NATURE CONSERVANCY,10,3/25/2021
83408,570314408,,PRESBYTERIAN COLLEGE,10,3/25/2021
85453,581376648,,"ATLANTA COMMUNITY FOOD BANK, INC.",10,12/10/2021
95627,640169075,RH39MK9L1MC8,COAST ELECTRIC POWER ASSOCIATION,10,4/21/2023
97664,710236857,SAFBJDMBB9A6,ARKANSAS CHILDRENS HOSPITAL,10,3/20/2023
102442,742181456,,THE HOUSTON FOOD BANK AND SUBSIDIARIES,10,3/25/2021
105204,751785357,,NORTH TEXAS FOOD BANK,10,3/23/2022
105242,751822473,,TARRANT AREA FOOD BANK,10,1/15/2022
114986,911352172,,MULTICARE HEALTH SYSTEM,10,10/3/2022
125252,953135649,,LOS ANGELES REGIONAL FOOD BANK,10,6/13/2022
130457,866000484,,WASHINGTON ELEMENTARY SCHOOL DISTRICT NO. 6,10,1/14/2022
131824,946000511,,COUNTY OF EL DORADO,10,3/25/2021
134025,956000120,,ANAHEIM UNION HIGH SCHOOL DISTRICT,10,2/23/2022
134053,956002823,,SANTA ANA UNIFIED SCHOOL DISTRICT,10,3/25/2021
134153,956002542,,RIALTO UNIFIED SCHOOL DISTRICT,10,3/4/2022
137690,586000227,,DEKALB COUNTY BOARD OF EDUCATION,10,3/25/2021
137732,586000264,,HOUSTON COUNTY BOARD OF EDUCATION,10,4/10/2022
146487,616001059,,FAYETTE COUNTY PUBLIC SCHOOLS,10,12/17/2021
154114,436004252,E3Y7LEMLMH66,HAZELWOOD SCHOOL DISTRICT,10,12/21/2022
161024,566001021,,DURHAM PUBLIC SCHOOLS,10,1/14/2022
161204,566001131,PRC9ZC7J56X7,WAYNE COUNTY BOARD OF EDUCATION,10,12/8/2022
171977,746000420,FKJNNPQQMKM1,"CAMERON COUNTY, TEXAS",10,6/9/2023
171989,756000873,,"COLLIN COUNTY, TEXAS",10,4/28/2022
174124,756001854,,IRVING INDEPENDENT SCHOOL DISTRICT,10,2/10/2022
174324,746000895,SGQXJ6JPSA73,GALENA PARK INDEPENDENT SCHOOL DISTRICT,10,1/23/2023
180895,910577129,,VOLUNTEERS OF AMERICA WESTERN WASHINGTON AND SUBSIDIARY,10,3/24/2022
181600,856000565,PBWFLKLC8Q84,NEW MEXICO DEPARTMENT OF FINANCE AND ADMINISTRATION,10,4/13/2023
181645,356005697,,"HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY, INDIANA",10,3/25/2021
182474,344428214,FRH2FFME3RM7,FULTON COUNTY HEALTH CENTER,10,6/9/2023
183628,346004382,,THE METROHEALTH SYSTEM,10,4/19/2022
184893,061259539,,THE MOHEGAN TRIBE OF INDIANS OF CONNECTICUT,10,7/6/2022
186518,036024497,,VERMONT ECONOMIC DEVELOPMENT AUTHORITY,10,3/25/2021
186988,522003078,F3MHWBVMBFD8,NATIONAL EXPERIENCED WORKFORCE SOLUTIONS,10,5/2/2023
194286,586000312,KMVGJJU8P5H4,ROCKDALE COUNTY BOARD OF EDUCATION,10,1/12/2023
198614,942191905,DVZ6S7VKGRK7,PORTERVILLE UNIFIED SCHOOL DISTRICT,10,6/6/2023
210703,520795508,,"APPALACHIAN REGIONAL HEALTHCARE, INC",10,3/25/2021
211645,586000212,,CLAYTON COUNTY BOARD OF EDUCATION,10,7/6/2023
219041,640239641,LB93DH1VACJ3,SINGING RIVER ELECTRIC COOPERATIVE,10,4/20/2023
221345,592097520,,"FEEDING SOUTH FLORIDA, INC.",10,4/19/2022
222245,640195613,,MAGNOLIA ELECTRIC POWER ASSOCIATION,10,5/4/2022
223101,237353532,,ST. MARY'S FOOD BANK ALLIANCE AND SMFB FOUNDATION,10,12/21/2021
226122,222534389,,"RUTLAND REGIONAL HEALTH SERVICES, INC",10,6/9/2022
227622,840399209,CBPFNNJYY9Q1,MEMORIAL REGIONAL HEALTH,10,6/8/2023
229203,010639602,QC59ZX49LPJ1,"KIPP TEXAS, INC.",10,12/6/2022
232272,222423882,,"COMMUNITY FOOD BANK OF NEW JERSEY, INC.",10,2/28/2022
234600,446005758,,OZARKS MEDICAL CENTER,10,6/21/2023
240754,460454373,E7YMVCB28565,SOUTHEASTERN ELECTRIC COOPERATIVE,10,4/28/2023
240985,452893839,,EL PASOANS FIGHTING HUNGER,10,10/6/2022
241118,560845796,KJ3FUJ4JD2K9,CUMBERLAND COUNTY HOSPITAL SYSTEM INC.,10,7/6/2023
242278,611566644,,"GEORGIA CHILDCARE RESOURCES, INC.",10,10/5/2022
245337,860181654,,HONORHEALTH,10,10/3/2022
245423,475280523,,SRUF CAMPUS HOUSING INC. AND SUBSIDIARY,10,3/25/2021
245548,274385692,,AVITA HEALTH SYSTEM,10,3/25/2021
246806,586001719,,TIFT COUNTY HOSPITAL AUTHORITY,10,3/25/2021
247269,610458376,,"PIKEVILLE MEDICAL CENTER, INC.",10,7/2/2022
247412,474302258,,PARTNERS IN NUTRITION,10,2/2/2023
248314,416005815,,WELIA HEALTH,10,3/25/2021
248730,812092154,GKYNWL1LBAL8,RESIDENTIAL REVIVAL INDIANA,10,11/1/2022
249970,815323275,,"ONE BROOKLYN HEALTH SYSTEM, INC.",10,10/10/2022
252272,680620773,,CAMPBELL UNIVERSITY FOUNDATION INC,10,2/15/2022
252682,562217808,,CAHEC PROPERTIES CORPORATION AND AFFILIATES,10,8/16/2022
279,010281875,,EASTERN MAINE DEVELOPMENT CORPORATION,11,6/16/2022
99460,726012779,,GULF STATES MARINE FISHERIES COMMISSION,11,8/16/2022
184959,936002376,,PACIFIC STATES MARINE FISHERIES COMMISSION,11,3/25/2021
2164,042103594,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,12,3/25/2021
2932,042239742,,THE MITRE CORPORATION,12,3/25/2021
3379,042505372,,"THE CHARLES STARK DRAPER LABORATORY, INC.",12,3/25/2021
11634,132593244,HRH1XLHY1XJ3,RIVERSIDE RESEARCH INSTITUTE,12,6/21/2023
18232,150589832,,"SRC, INC.",12,3/25/2021
35809,250969449,,CARNEGIE MELLON UNIVERSITY,12,3/25/2021
57098,382761126,,NATIONAL CENTER FOR MANUFACTURING SCIENCES AND SUBSIDIARY AND AFFILIAT,12,3/25/2021
68000,440545878,,MRIGLOBAL,12,3/25/2021
72985,520595110,,THE JOHNS HOPKINS UNIVERSITY,12,3/25/2021
73200,520741393,,LOGISTICS MANAGEMENT INSTITUTE,12,3/25/2021
75117,521317896,,HENRY M. JACKSON FOUNDATION FOR THE ADVANCEMENT OF MILITARY MEDI,12,3/25/2021
77832,530196605,,AMERICAN NATIONAL RED CROSS,12,12/10/2021
