dbkey,audit_year
245186,2016
181884,2016
238896,2016
187529,2016
237862,2016
184042,2016
74828,2016
245454,2016
188100,2016
184711,2016
187796,2016
229655,2016
141780,2016
110841,2016
112120,2016
243942,2016
247316,2016
9156,2016
188358,2016
246222,2016
82235,2016
73891,2016
202062,2016
64586,2016
241362,2016
239399,2016
204681,2016
183865,2016
202639,2016
166571,2016
138640,2016
43776,2016
165496,2016
49070,2016
170759,2016
219517,2016
112265,2016
104928,2016
183596,2016
233733,2016
245635,2016
245991,2016
183478,2016
243590,2016
211245,2016
196078,2016
241815,2016
227102,2016
154684,2016
181446,2016
141521,2016
170497,2016
169599,2016
221915,2016
132198,2016
82235,2017
180129,2017
183392,2017
247316,2017
221360,2017
95902,2017
131921,2017
147959,2017
242069,2017
247312,2017
248094,2017
89892,2017
99963,2017
80841,2017
188343,2017
82235,2018
131409,2017
125677,2017
219241,2017
243141,2017
81941,2017
136308,2017
234451,2017
247217,2017
247311,2017
161183,2017
196218,2017
150045,2017
208410,2017
148858,2017
177871,2017
196850,2017
226934,2017
152705,2017
132024,2017
154119,2017
198094,2017
164895,2017
230305,2017
223363,2018
247318,2018
181817,2018
180129,2018
243141,2018
227561,2018
106920,2018
193734,2018
183834,2018
224521,2018
236580,2018
228625,2018
223994,2018
238803,2018
221747,2018
225866,2018
230095,2018
137693,2018
193746,2018
208149,2018
200258,2018
125496,2018
191699,2018
188378,2018
216179,2018
216448,2018
218911,2018
249402,2018
248094,2018
201593,2018
243205,2018
247016,2018
189688,2018
246031,2018
213520,2018
238398,2018
212927,2018
225532,2018
147058,2018
190995,2018
176780,2018
170743,2018
197329,2018
240474,2019
109739,2019
236396,2019
244532,2019
148983,2019
137649,2019
192847,2019
148189,2019
169846,2019
110826,2019
249817,2019
212124,2019
82235,2019
179407,2019
247990,2019
214832,2019
156391,2019
240680,2019
258913,2019
232146,2019
185474,2019
141198,2019
94819,2019
216437,2019
207030,2019
234392,2019
213771,2019
4412,2019
193917,2019
177168,2020
225104,2020
237101,2020
232622,2020
186672,2020
82235,2020
205254,2020
94819,2020
250998,2020
236344,2020
187642,2020
221641,2020
51747,2020
190034,2020
227711,2020
241491,2020
144498,2020
249752,2020
241192,2020
214832,2020
240474,2020
227822,2020
251218,2020
183763,2020
228694,2020
251079,2020
224100,2020
250906,2020
56449,2020
250210,2020
196299,2020
34075,2020
83733,2020
181006,2020
214506,2020
246935,2020
242070,2020
147059,2020
205842,2021
170083,2021
11980,2021
115254,2021
246683,2021
228629,2021
214763,2021
212495,2021
213143,2021
218226,2021
129947,2021
254402,2021
187782,2021
208597,2021
82235,2021
56000,2021
64989,2021
111001,2021
182850,2021
254484,2021
249752,2021
240080,2021
249033,2021
210061,2021
241733,2021
240680,2021
201811,2021
238619,2021
226682,2021
248260,2021
187428,2021
236079,2021
144393,2021
213806,2021
207104,2021
206963,2021
248943,2021
206188,2021
14104,2021
253671,2021
249104,2021
253519,2021
254745,2021
255251,2021
192984,2021
246540,2021
253889,2021
254695,2021
252762,2021
243601,2021
227361,2021
254747,2021
240075,2021
229304,2021
253719,2021
232364,2021
155547,2021
38009,2021
211967,2021
36043,2022
197787,2022
185619,2022
91930,2022
252746,2022
98016,2022
223085,2022
247273,2022
236344,2022
150090,2022
205092,2022
250965,2022
184872,2022
257726,2022
39718,2022
82235,2022
222924,2022
94819,2022
231532,2022
236079,2022
198496,2022
158343,2022
257749,2022
195719,2022
256451,2022
103261,2022
238967,2022
257210,2022
256821,2022
219582,2016
111783,2016
244792,2016
229938,2016
231297,2016
64400,2016
21005,2016
198263,2016
246358,2016
204828,2016
150961,2016
247285,2017
190034,2017
219294,2017
225051,2017
177934,2017
171681,2017
173830,2017
235561,2017
50668,2018
198658,2018
248049,2018
248635,2018
106968,2018
248270,2018
217703,2018
131972,2018
98042,2019
88611,2019
217403,2019
234387,2019
189782,2020
191094,2020
191946,2020
190848,2020
191610,2020
190163,2020
183651,2020
241193,2020
235850,2020
170380,2020
250450,2020
247318,2020
189790,2020
191186,2020
201820,2020
191185,2020
225053,2020
601,2020
191010,2020
255580,2020
192315,2020
191949,2020
188733,2020
